relative_path,domain,signal_var,native_points,native_fs_hz,common_points,common_fs_hz,window_count,status
source_domain/cwru_12khz_fe/IR014_3.mat,source,X277_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR021_0.mat,source,X270_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR021_1.mat,source,X271_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR021_2.mat,source,X272_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR021_3.mat,source,X273_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@12_0.mat,source,X302_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@12_1.mat,source,X305_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@12_2.mat,source,X306_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@12_3.mat,source,X307_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@3_0.mat,source,X298_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@3_1.mat,source,X299_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@3_2.mat,source,X300_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@3_3.mat,source,X301_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@6_0.mat,source,X294_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@6_1.mat,source,X295_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@6_2.mat,source,X296_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR007@6_3.mat,source,X297_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR014@3_0.mat,source,X310_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR014@3_1.mat,source,X309_FE_time,121168,12000,121168,12000,19,OK
source_domain/cwru_12khz_fe/OR014@3_2.mat,source,X311_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR014@3_3.mat,source,X312_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR014@6_0.mat,source,X313_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR021@3_1.mat,source,X316_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR021@3_2.mat,source,X317_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR021@3_3.mat,source,X318_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/OR021@6_0.mat,source,X315_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_48khz_normal/N_0.mat,source,X097_DE_time,243938,48000,60985,12000,9,OK
source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source,X098_DE_time,384000,48000,96000,12000,15,OK
source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source,X099_DE_time,384000,48000,96000,12000,15,OK
source_domain/cwru_48khz_normal/N_3.mat,source,X100_DE_time,384000,48000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/A.mat,target,A,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/B.mat,target,B,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/C.mat,target,C,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/D.mat,target,D,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/E.mat,target,E,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/F.mat,target,F,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/G.mat,target,G,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/H.mat,target,H,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/I.mat,target,I,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/J.mat,target,J,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/K.mat,target,K,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/L.mat,target,L,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/M.mat,target,M,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/N.mat,target,N,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/O.mat,target,O,256000,32000,96000,12000,15,OK
target_domain/train_bearing_a_to_p/P.mat,target,P,256000,32000,96000,12000,15,OK
