domain,relative_path,file_id,independent_object_id,subgroup,native_points,native_fs_hz,native_duration_s,common_points,common_fs_hz,common_duration_s,window_count,covered_until_s,tail_uncovered_s,resampled,up,down,fir_taps,cutoff_hz,filter_design_fs_hz
source,source_domain/cwru_12khz_fe/IR021_3.mat,RAWFILE-084,source_domain/cwru_12khz_fe/IR021_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@12_0.mat,RAWFILE-085,source_domain/cwru_12khz_fe/OR007@12_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@12_1.mat,RAWFILE-086,source_domain/cwru_12khz_fe/OR007@12_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@12_2.mat,RAWFILE-087,source_domain/cwru_12khz_fe/OR007@12_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@12_3.mat,RAWFILE-088,source_domain/cwru_12khz_fe/OR007@12_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@3_0.mat,RAWFILE-089,source_domain/cwru_12khz_fe/OR007@3_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@3_1.mat,RAWFILE-090,source_domain/cwru_12khz_fe/OR007@3_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@3_2.mat,RAWFILE-091,source_domain/cwru_12khz_fe/OR007@3_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@3_3.mat,RAWFILE-092,source_domain/cwru_12khz_fe/OR007@3_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@6_0.mat,RAWFILE-093,source_domain/cwru_12khz_fe/OR007@6_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@6_1.mat,RAWFILE-094,source_domain/cwru_12khz_fe/OR007@6_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@6_2.mat,RAWFILE-095,source_domain/cwru_12khz_fe/OR007@6_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR007@6_3.mat,RAWFILE-096,source_domain/cwru_12khz_fe/OR007@6_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR014@3_0.mat,RAWFILE-097,source_domain/cwru_12khz_fe/OR014@3_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR014@3_1.mat,RAWFILE-098,source_domain/cwru_12khz_fe/OR014@3_1.mat,source_12khz_fe,121168,12000,10.097333333333333,121168,12000,10.097333333333333,19,10.0,0.09733333333333327,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR014@3_2.mat,RAWFILE-099,source_domain/cwru_12khz_fe/OR014@3_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR014@3_3.mat,RAWFILE-100,source_domain/cwru_12khz_fe/OR014@3_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR014@6_0.mat,RAWFILE-101,source_domain/cwru_12khz_fe/OR014@6_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR021@3_1.mat,RAWFILE-102,source_domain/cwru_12khz_fe/OR021@3_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR021@3_2.mat,RAWFILE-103,source_domain/cwru_12khz_fe/OR021@3_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR021@3_3.mat,RAWFILE-104,source_domain/cwru_12khz_fe/OR021@3_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/OR021@6_0.mat,RAWFILE-105,source_domain/cwru_12khz_fe/OR021@6_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_48khz_normal/N_0.mat,RAWFILE-158,source_domain/cwru_48khz_normal/N_0.mat,source_48khz_normal,243938,48000,5.082041666666667,60985,12000,5.082083333333333,9,5.0,0.08208333333333329,True,1,4,401,5500.0,48000.0
source,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,RAWFILE-159,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source_48khz_normal,384000,48000,8.0,96000,12000,8.0,15,8.0,0.0,True,1,4,401,5500.0,48000.0
source,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,RAWFILE-160,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source_48khz_normal,384000,48000,8.0,96000,12000,8.0,15,8.0,0.0,True,1,4,401,5500.0,48000.0
source,source_domain/cwru_48khz_normal/N_3.mat,RAWFILE-161,source_domain/cwru_48khz_normal/N_3.mat,source_48khz_normal,384000,48000,8.0,96000,12000,8.0,15,8.0,0.0,True,1,4,401,5500.0,48000.0
target,target_domain/train_bearing_a_to_p/A.mat,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/B.mat,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/C.mat,RAWFILE-164,target_domain/train_bearing_a_to_p/C.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/D.mat,RAWFILE-165,target_domain/train_bearing_a_to_p/D.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/E.mat,RAWFILE-166,target_domain/train_bearing_a_to_p/E.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/F.mat,RAWFILE-167,target_domain/train_bearing_a_to_p/F.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/G.mat,RAWFILE-168,target_domain/train_bearing_a_to_p/G.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/H.mat,RAWFILE-169,target_domain/train_bearing_a_to_p/H.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/I.mat,RAWFILE-170,target_domain/train_bearing_a_to_p/I.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/J.mat,RAWFILE-171,target_domain/train_bearing_a_to_p/J.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/K.mat,RAWFILE-172,target_domain/train_bearing_a_to_p/K.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/L.mat,RAWFILE-173,target_domain/train_bearing_a_to_p/L.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/M.mat,RAWFILE-174,target_domain/train_bearing_a_to_p/M.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/N.mat,RAWFILE-175,target_domain/train_bearing_a_to_p/N.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/O.mat,RAWFILE-176,target_domain/train_bearing_a_to_p/O.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
target,target_domain/train_bearing_a_to_p/P.mat,RAWFILE-177,target_domain/train_bearing_a_to_p/P.mat,target_32khz,256000,32000,8.0,96000,12000,8.0,15,8.0,0.0,True,3,8,801,5500.0,96000.0
