domain,original_file_id,acquisition_id,independent_object_id,class_label,truth_status,fs_hz,signal_var,channel,sensor_position,fault_bearing_location,load_hp,rpm_value,rpm_source,fault_size_in,or_position,n_points_in_file,duration_s
source,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,IR,known_source_label,48000,X110_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,known_source_label,48000,X111_DE_time,DE_time,drive_end,drive_end,2.0,1748.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,known_source_label,48000,X112_DE_time,DE_time,drive_end,drive_end,3.0,1721.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,known_source_label,48000,X173_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.014,,63788,1.3289166666666667
source,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,IR,known_source_label,48000,X175_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,known_source_label,48000,X176_DE_time,DE_time,drive_end,drive_end,2.0,1751.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,known_source_label,48000,X177_DE_time,DE_time,drive_end,drive_end,3.0,1726.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,known_source_label,48000,X213_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,IR,known_source_label,48000,X214_DE_time,DE_time,drive_end,drive_end,1.0,1774.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,known_source_label,48000,X215_DE_time,DE_time,drive_end,drive_end,2.0,1752.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,known_source_label,48000,X217_DE_time,DE_time,drive_end,drive_end,3.0,1727.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,known_source_label,48000,X161_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.007,12.0,129969,2.7076875
source,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,OR,known_source_label,48000,X162_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.007,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,known_source_label,48000,X163_DE_time,DE_time,drive_end,drive_end,2.0,1749.0,mat_variable,0.007,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,known_source_label,48000,X164_DE_time,DE_time,drive_end,drive_end,3.0,1723.0,mat_variable,0.007,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,known_source_label,48000,X148_DE_time,DE_time,drive_end,drive_end,0.0,1797.0,mat_variable,0.007,3.0,124602,2.595875
source,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,OR,known_source_label,48000,X149_DE_time,DE_time,drive_end,drive_end,1.0,1773.0,mat_variable,0.007,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,known_source_label,48000,X150_DE_time,DE_time,drive_end,drive_end,2.0,1750.0,mat_variable,0.007,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,known_source_label,48000,X151_DE_time,DE_time,drive_end,drive_end,3.0,1724.0,mat_variable,0.007,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,known_source_label,48000,X135_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.007,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,OR,known_source_label,48000,X136_DE_time,DE_time,drive_end,drive_end,1.0,1774.0,mat_variable,0.007,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,known_source_label,48000,X137_DE_time,DE_time,drive_end,drive_end,2.0,1750.0,mat_variable,0.007,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,known_source_label,48000,X138_DE_time,DE_time,drive_end,drive_end,3.0,1725.0,mat_variable,0.007,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,known_source_label,48000,X201_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.014,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,OR,known_source_label,48000,X202_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.014,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,known_source_label,48000,X203_DE_time,DE_time,drive_end,drive_end,2.0,1749.0,mat_variable,0.014,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,known_source_label,48000,X204_DE_time,DE_time,drive_end,drive_end,3.0,1723.0,mat_variable,0.014,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,known_source_label,48000,X262_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.021,12.0,130549,2.7197708333333335
source,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,OR,known_source_label,48000,X263_DE_time,DE_time,drive_end,drive_end,1.0,1771.0,mat_variable,0.021,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,known_source_label,48000,X264_DE_time,DE_time,drive_end,drive_end,2.0,1746.0,mat_variable,0.021,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,known_source_label,48000,X265_DE_time,DE_time,drive_end,drive_end,3.0,1718.0,mat_variable,0.021,12.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,known_source_label,48000,X250_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.021,3.0,128663,2.6804791666666667
source,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,OR,known_source_label,48000,X251_DE_time,DE_time,drive_end,drive_end,1.0,1770.0,mat_variable,0.021,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,known_source_label,48000,X252_DE_time,DE_time,drive_end,drive_end,2.0,1746.0,mat_variable,0.021,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,known_source_label,48000,X253_DE_time,DE_time,drive_end,drive_end,3.0,1719.0,mat_variable,0.021,3.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,known_source_label,48000,X238_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.021,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,OR,known_source_label,48000,X239_DE_time,DE_time,drive_end,drive_end,1.0,1771.0,mat_variable,0.021,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,known_source_label,48000,X240_DE_time,DE_time,drive_end,drive_end,2.0,1747.0,mat_variable,0.021,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,known_source_label,48000,X241_DE_time,DE_time,drive_end,drive_end,3.0,1719.0,mat_variable,0.021,6.0,192000,4.0
source,data/raw/source_domain/cwru_48khz_normal/N_0.mat,data/raw/source_domain/cwru_48khz_normal/N_0.mat,data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,known_source_label,48000,X097_DE_time,DE_time,drive_end,none,0.0,1796.0,mat_variable,,,243938,5.082041666666667
source,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,N,known_source_label,48000,X098_DE_time,DE_time,drive_end,none,1.0,1772.0,filename,,,384000,8.0
source,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,known_source_label,48000,X099_DE_time,DE_time,drive_end,none,2.0,1750.0,filename,,,384000,8.0
source,data/raw/source_domain/cwru_48khz_normal/N_3.mat,data/raw/source_domain/cwru_48khz_normal/N_3.mat,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,known_source_label,48000,X100_DE_time,DE_time,drive_end,none,3.0,1725.0,mat_variable,,,384000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,UNKNOWN,unknown,32000,A,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/B.mat,data/raw/target_domain/train_bearing_a_to_p/B.mat,data/raw/target_domain/train_bearing_a_to_p/B.mat,UNKNOWN,unknown,32000,B,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/C.mat,data/raw/target_domain/train_bearing_a_to_p/C.mat,data/raw/target_domain/train_bearing_a_to_p/C.mat,UNKNOWN,unknown,32000,C,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/D.mat,data/raw/target_domain/train_bearing_a_to_p/D.mat,data/raw/target_domain/train_bearing_a_to_p/D.mat,UNKNOWN,unknown,32000,D,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/E.mat,data/raw/target_domain/train_bearing_a_to_p/E.mat,data/raw/target_domain/train_bearing_a_to_p/E.mat,UNKNOWN,unknown,32000,E,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/F.mat,data/raw/target_domain/train_bearing_a_to_p/F.mat,data/raw/target_domain/train_bearing_a_to_p/F.mat,UNKNOWN,unknown,32000,F,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/G.mat,data/raw/target_domain/train_bearing_a_to_p/G.mat,data/raw/target_domain/train_bearing_a_to_p/G.mat,UNKNOWN,unknown,32000,G,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/H.mat,data/raw/target_domain/train_bearing_a_to_p/H.mat,data/raw/target_domain/train_bearing_a_to_p/H.mat,UNKNOWN,unknown,32000,H,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/I.mat,data/raw/target_domain/train_bearing_a_to_p/I.mat,data/raw/target_domain/train_bearing_a_to_p/I.mat,UNKNOWN,unknown,32000,I,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/J.mat,data/raw/target_domain/train_bearing_a_to_p/J.mat,data/raw/target_domain/train_bearing_a_to_p/J.mat,UNKNOWN,unknown,32000,J,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/K.mat,data/raw/target_domain/train_bearing_a_to_p/K.mat,data/raw/target_domain/train_bearing_a_to_p/K.mat,UNKNOWN,unknown,32000,K,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/L.mat,data/raw/target_domain/train_bearing_a_to_p/L.mat,data/raw/target_domain/train_bearing_a_to_p/L.mat,UNKNOWN,unknown,32000,L,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/M.mat,data/raw/target_domain/train_bearing_a_to_p/M.mat,data/raw/target_domain/train_bearing_a_to_p/M.mat,UNKNOWN,unknown,32000,M,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/N.mat,data/raw/target_domain/train_bearing_a_to_p/N.mat,data/raw/target_domain/train_bearing_a_to_p/N.mat,UNKNOWN,unknown,32000,N,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/O.mat,data/raw/target_domain/train_bearing_a_to_p/O.mat,data/raw/target_domain/train_bearing_a_to_p/O.mat,UNKNOWN,unknown,32000,O,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
target,data/raw/target_domain/train_bearing_a_to_p/P.mat,data/raw/target_domain/train_bearing_a_to_p/P.mat,data/raw/target_domain/train_bearing_a_to_p/P.mat,UNKNOWN,unknown,32000,P,anonymous_single_channel,unknown,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,,,256000,8.0
