independent_object_id,class_label,load_hp,baseline_pred,final_pred,baseline_correct,final_correct,transition
data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,2.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,N,N,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,OR,IR,False,True,corrected
data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,B,B,False,False,persistent_error
data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,N,N,True,True,correct_both
