domain,independent_object_id,group_id,relative_path,window_count,first_start_s,last_end_s,future_split_rule
source,source_domain/cwru_12khz_fe/IR007_1.mat,source_domain/cwru_12khz_fe/IR007_1.mat,source_domain/cwru_12khz_fe/IR007_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR007_2.mat,source_domain/cwru_12khz_fe/IR007_2.mat,source_domain/cwru_12khz_fe/IR007_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR007_3.mat,source_domain/cwru_12khz_fe/IR007_3.mat,source_domain/cwru_12khz_fe/IR007_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR014_0.mat,source_domain/cwru_12khz_fe/IR014_0.mat,source_domain/cwru_12khz_fe/IR014_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR014_1.mat,source_domain/cwru_12khz_fe/IR014_1.mat,source_domain/cwru_12khz_fe/IR014_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR014_2.mat,source_domain/cwru_12khz_fe/IR014_2.mat,source_domain/cwru_12khz_fe/IR014_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR014_3.mat,source_domain/cwru_12khz_fe/IR014_3.mat,source_domain/cwru_12khz_fe/IR014_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR021_0.mat,source_domain/cwru_12khz_fe/IR021_0.mat,source_domain/cwru_12khz_fe/IR021_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR021_1.mat,source_domain/cwru_12khz_fe/IR021_1.mat,source_domain/cwru_12khz_fe/IR021_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR021_2.mat,source_domain/cwru_12khz_fe/IR021_2.mat,source_domain/cwru_12khz_fe/IR021_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/IR021_3.mat,source_domain/cwru_12khz_fe/IR021_3.mat,source_domain/cwru_12khz_fe/IR021_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@12_0.mat,source_domain/cwru_12khz_fe/OR007@12_0.mat,source_domain/cwru_12khz_fe/OR007@12_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@12_1.mat,source_domain/cwru_12khz_fe/OR007@12_1.mat,source_domain/cwru_12khz_fe/OR007@12_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@12_2.mat,source_domain/cwru_12khz_fe/OR007@12_2.mat,source_domain/cwru_12khz_fe/OR007@12_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@12_3.mat,source_domain/cwru_12khz_fe/OR007@12_3.mat,source_domain/cwru_12khz_fe/OR007@12_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@3_0.mat,source_domain/cwru_12khz_fe/OR007@3_0.mat,source_domain/cwru_12khz_fe/OR007@3_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@3_1.mat,source_domain/cwru_12khz_fe/OR007@3_1.mat,source_domain/cwru_12khz_fe/OR007@3_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@3_2.mat,source_domain/cwru_12khz_fe/OR007@3_2.mat,source_domain/cwru_12khz_fe/OR007@3_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@3_3.mat,source_domain/cwru_12khz_fe/OR007@3_3.mat,source_domain/cwru_12khz_fe/OR007@3_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@6_0.mat,source_domain/cwru_12khz_fe/OR007@6_0.mat,source_domain/cwru_12khz_fe/OR007@6_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@6_1.mat,source_domain/cwru_12khz_fe/OR007@6_1.mat,source_domain/cwru_12khz_fe/OR007@6_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@6_2.mat,source_domain/cwru_12khz_fe/OR007@6_2.mat,source_domain/cwru_12khz_fe/OR007@6_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR007@6_3.mat,source_domain/cwru_12khz_fe/OR007@6_3.mat,source_domain/cwru_12khz_fe/OR007@6_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR014@3_0.mat,source_domain/cwru_12khz_fe/OR014@3_0.mat,source_domain/cwru_12khz_fe/OR014@3_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR014@3_1.mat,source_domain/cwru_12khz_fe/OR014@3_1.mat,source_domain/cwru_12khz_fe/OR014@3_1.mat,19,0.0,10.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR014@3_2.mat,source_domain/cwru_12khz_fe/OR014@3_2.mat,source_domain/cwru_12khz_fe/OR014@3_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR014@3_3.mat,source_domain/cwru_12khz_fe/OR014@3_3.mat,source_domain/cwru_12khz_fe/OR014@3_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR014@6_0.mat,source_domain/cwru_12khz_fe/OR014@6_0.mat,source_domain/cwru_12khz_fe/OR014@6_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR021@3_1.mat,source_domain/cwru_12khz_fe/OR021@3_1.mat,source_domain/cwru_12khz_fe/OR021@3_1.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR021@3_2.mat,source_domain/cwru_12khz_fe/OR021@3_2.mat,source_domain/cwru_12khz_fe/OR021@3_2.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR021@3_3.mat,source_domain/cwru_12khz_fe/OR021@3_3.mat,source_domain/cwru_12khz_fe/OR021@3_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_12khz_fe/OR021@6_0.mat,source_domain/cwru_12khz_fe/OR021@6_0.mat,source_domain/cwru_12khz_fe/OR021@6_0.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_48khz_normal/N_0.mat,source_domain/cwru_48khz_normal/N_0.mat,source_domain/cwru_48khz_normal/N_0.mat,9,0.0,5.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,15,0.0,8.0,all windows with same group_id must stay in one partition
source,source_domain/cwru_48khz_normal/N_3.mat,source_domain/cwru_48khz_normal/N_3.mat,source_domain/cwru_48khz_normal/N_3.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/C.mat,target_domain/train_bearing_a_to_p/C.mat,target_domain/train_bearing_a_to_p/C.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/D.mat,target_domain/train_bearing_a_to_p/D.mat,target_domain/train_bearing_a_to_p/D.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/E.mat,target_domain/train_bearing_a_to_p/E.mat,target_domain/train_bearing_a_to_p/E.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/F.mat,target_domain/train_bearing_a_to_p/F.mat,target_domain/train_bearing_a_to_p/F.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/G.mat,target_domain/train_bearing_a_to_p/G.mat,target_domain/train_bearing_a_to_p/G.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/H.mat,target_domain/train_bearing_a_to_p/H.mat,target_domain/train_bearing_a_to_p/H.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/I.mat,target_domain/train_bearing_a_to_p/I.mat,target_domain/train_bearing_a_to_p/I.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/J.mat,target_domain/train_bearing_a_to_p/J.mat,target_domain/train_bearing_a_to_p/J.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/K.mat,target_domain/train_bearing_a_to_p/K.mat,target_domain/train_bearing_a_to_p/K.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/L.mat,target_domain/train_bearing_a_to_p/L.mat,target_domain/train_bearing_a_to_p/L.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/M.mat,target_domain/train_bearing_a_to_p/M.mat,target_domain/train_bearing_a_to_p/M.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/N.mat,target_domain/train_bearing_a_to_p/N.mat,target_domain/train_bearing_a_to_p/N.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/O.mat,target_domain/train_bearing_a_to_p/O.mat,target_domain/train_bearing_a_to_p/O.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
target,target_domain/train_bearing_a_to_p/P.mat,target_domain/train_bearing_a_to_p/P.mat,target_domain/train_bearing_a_to_p/P.mat,15,0.0,8.0,all windows with same group_id must stay in one partition
