outer_test_load,inner_val_load,independent_object_id,class_label,load_hp,role
0,2,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,validation
0,2,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B007_1.mat,B,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/B014_1.mat,B,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/B021_1.mat,B,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,IR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,IR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,IR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,OR,1.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,2.0,train
0,3,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,validation
0,3,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,N,1.0,train
0,3,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,train
0,3,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,2.0,train
1,0,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,train
1,0,data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,0.0,validation
1,0,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,train
1,0,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,0.0,train
1,2,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,train
1,2,data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,0.0,train
1,2,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,validation
1,2,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,0.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,OR,2.0,train
1,3,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,validation
1,3,data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,0.0,train
1,3,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,2.0,train
1,3,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/B007_1.mat,B,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/B014_1.mat,B,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/B021_1.mat,B,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,IR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,IR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,IR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,OR,1.0,train
2,0,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,OR,3.0,train
2,0,data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,0.0,validation
2,0,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,N,1.0,train
2,0,data/raw/source_domain/cwru_48khz_normal/N_3.mat,N,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B007_1.mat,B,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B014_1.mat,B,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/B021_1.mat,B,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR007_1.mat,IR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/IR007_3.mat,IR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR014_1.mat,IR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,IR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,IR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,IR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,OR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,OR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,OR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,OR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,OR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,OR,3.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,train
2,1,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,OR,1.0,validation
2,1,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,OR,3.0,train
