number_id,question,name,exact_value,display_value,unit,sample_scope,display_decimals,source_path,run_id,final_data_lineage_id,final_code_bundle_id,model_artifact_id,conclusion
Q2-MINREC,Q2,orthogonal minimum class Recall,0.9047619047619048,0.9048,Recall,4 classes; leave-one-load-out,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,最低逐类召回
Q2-TREES,Q2,final RF trees,300.0,300,trees,final H1_RF,0,protocol/07A/latest_freeze_package.json,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,最终模型参数
Q2-DEPTH,Q2,final RF max depth,8.0,8,levels,final H1_RF,0,protocol/07A/latest_freeze_package.json,run_07-A_20260920T051657629377Z_59d5a6dd_7e8829fb,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,最终模型参数
Q3-MMD,Q3,source-target MMD2 before transfer,0.7922234132610413,0.7922,MMD²,49 source vs 16 target file means,4,protocol/08A/latest_freeze_package.json,run_08-A_20260920T060936354760Z_049c8ddb_8cd7401f,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,域差异证据，不是准确率
Q3-ALPHA,Q3,final T1 alpha,0.25,0.25,alpha,T1 shrink-moment,2,protocol/09A/latest_freeze_package.json,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,最终迁移参数
Q3-PSEUDO-GAIN,Q3,held pseudo-target Macro-F1 gain,0.0,0.0000,Macro-F1 delta,held load3 pseudo-target,4,protocol/09A/latest_freeze_package.json,run_09-A_20260920T070725126712Z_6ef81c21_26f99878,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,无正增益亦无退化
Q3-LOTO,Q3,A-P target LOTO label agreement,0.9375,0.9375,rate,16 target files,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,15/16保持，D翻类
Q3-BOOT,Q3,A-P source-bootstrap minimum label retention,0.38333333333333336,0.3833,rate,16 target files × 120 source bootstraps,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,最低D=0.3833，不能概括整体稳定
Q4-FAITH,Q4,median Top-5 occlusion score drop,0.44884402757514785,0.4488,uncalibrated score drop,9 selected explanation cases,4,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,忠实性证据，不是因果效应
Q4-SPEAR,Q4,median adjacent-window explanation Spearman,0.9761823248143944,0.9762,Spearman rho,9 selected explanation cases,4,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,解释稳定性
Q4-JACC,Q4,median Top-5 Jaccard,1.0,1.0000,Jaccard,9 selected explanation cases,4,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,解释稳定性
Q4-MECH,Q4,source representative mean Top-5 mechanism proxy share,0.6,0.6000,share,4 source representative cases,4,protocol/11A/latest_freeze_package.json,run_11-A_20260920T151947188398Z_54a3c266_1f812c22,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-TRANSFER-82c6b6ba4d2dd557,机理一致性仅为旁证
ALL-REEX,ALL,raw-to-feature maximum absolute recomputation difference,4.547473508864641e-13,4.547e-13,feature native units,733 windows × 26 features,12,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,公式—代码—单位核对通过
