class,file,spectrum_type,frequency_hz,relative_psd_db,theoretical_source_fault_frequency_hz
OR,OR007@12_0.mat,vibration,621.09375,-20.244719837834843,107.30428106701365
OR,OR007@12_0.mat,vibration,632.8125,-18.52201452568519,107.30428106701365
OR,OR007@12_0.mat,vibration,644.53125,-19.53068206937013,107.30428106701365
OR,OR007@12_0.mat,vibration,656.25,-19.54104572276368,107.30428106701365
OR,OR007@12_0.mat,vibration,667.96875,-23.829599444765094,107.30428106701365
OR,OR007@12_0.mat,vibration,679.6875,-19.47150151687663,107.30428106701365
OR,OR007@12_0.mat,vibration,691.40625,-16.720860543558725,107.30428106701365
OR,OR007@12_0.mat,vibration,703.125,-24.571608298599237,107.30428106701365
OR,OR007@12_0.mat,vibration,714.84375,-21.97473862596409,107.30428106701365
OR,OR007@12_0.mat,vibration,726.5625,-23.71486793549293,107.30428106701365
OR,OR007@12_0.mat,vibration,738.28125,-31.808538293811402,107.30428106701365
OR,OR007@12_0.mat,vibration,750.0,-28.87044403959084,107.30428106701365
OR,OR007@12_0.mat,vibration,761.71875,-30.500593459383786,107.30428106701365
OR,OR007@12_0.mat,vibration,773.4375,-27.862288166639452,107.30428106701365
OR,OR007@12_0.mat,vibration,785.15625,-29.13155015028583,107.30428106701365
OR,OR007@12_0.mat,vibration,796.875,-32.44156276302039,107.30428106701365
OR,OR007@12_0.mat,vibration,808.59375,-28.33836386104689,107.30428106701365
OR,OR007@12_0.mat,vibration,820.3125,-31.706428866184627,107.30428106701365
OR,OR007@12_0.mat,vibration,832.03125,-26.211197845039514,107.30428106701365
OR,OR007@12_0.mat,vibration,843.75,-25.81087300355648,107.30428106701365
OR,OR007@12_0.mat,vibration,855.46875,-28.565850348043913,107.30428106701365
OR,OR007@12_0.mat,vibration,867.1875,-26.446626115954366,107.30428106701365
OR,OR007@12_0.mat,vibration,878.90625,-33.6434250425046,107.30428106701365
OR,OR007@12_0.mat,vibration,890.625,-35.38278634080072,107.30428106701365
OR,OR007@12_0.mat,vibration,902.34375,-34.45395894608086,107.30428106701365
OR,OR007@12_0.mat,vibration,914.0625,-35.590296919597584,107.30428106701365
OR,OR007@12_0.mat,vibration,925.78125,-33.948002938469656,107.30428106701365
OR,OR007@12_0.mat,vibration,937.5,-32.713459873622114,107.30428106701365
OR,OR007@12_0.mat,vibration,949.21875,-33.16451399709202,107.30428106701365
OR,OR007@12_0.mat,vibration,960.9375,-24.393935061715418,107.30428106701365
OR,OR007@12_0.mat,vibration,972.65625,-18.67693974758003,107.30428106701365
OR,OR007@12_0.mat,vibration,984.375,-23.142637003316395,107.30428106701365
OR,OR007@12_0.mat,vibration,996.09375,-33.333824126466126,107.30428106701365
OR,OR007@12_0.mat,vibration,1007.8125,-37.284981631595,107.30428106701365
OR,OR007@12_0.mat,vibration,1019.53125,-35.37251178486072,107.30428106701365
OR,OR007@12_0.mat,vibration,1031.25,-33.80969771507492,107.30428106701365
OR,OR007@12_0.mat,vibration,1042.96875,-25.70026641667223,107.30428106701365
OR,OR007@12_0.mat,vibration,1054.6875,-27.230357355280773,107.30428106701365
OR,OR007@12_0.mat,vibration,1066.40625,-30.58848831254788,107.30428106701365
OR,OR007@12_0.mat,vibration,1078.125,-25.581183702216887,107.30428106701365
OR,OR007@12_0.mat,vibration,1089.84375,-28.406331815305936,107.30428106701365
OR,OR007@12_0.mat,vibration,1101.5625,-22.191081095870338,107.30428106701365
OR,OR007@12_0.mat,vibration,1113.28125,-22.43888601166995,107.30428106701365
OR,OR007@12_0.mat,vibration,1125.0,-29.22042658087222,107.30428106701365
OR,OR007@12_0.mat,vibration,1136.71875,-26.71609978282056,107.30428106701365
OR,OR007@12_0.mat,vibration,1148.4375,-31.014679785371357,107.30428106701365
OR,OR007@12_0.mat,vibration,1160.15625,-30.97870498160634,107.30428106701365
OR,OR007@12_0.mat,vibration,1171.875,-29.12346100427211,107.30428106701365
OR,OR007@12_0.mat,vibration,1183.59375,-25.54936253645941,107.30428106701365
OR,OR007@12_0.mat,vibration,1195.3125,-26.61289114868999,107.30428106701365
OR,OR007@12_0.mat,vibration,1207.03125,-32.86999851370649,107.30428106701365
OR,OR007@12_0.mat,vibration,1218.75,-31.963538032793902,107.30428106701365
OR,OR007@12_0.mat,vibration,1230.46875,-28.16957475274721,107.30428106701365
OR,OR007@12_0.mat,vibration,1242.1875,-30.51269040033211,107.30428106701365
OR,OR007@12_0.mat,vibration,1253.90625,-31.302620695681135,107.30428106701365
OR,OR007@12_0.mat,vibration,1265.625,-29.556089595549565,107.30428106701365
OR,OR007@12_0.mat,vibration,1277.34375,-30.527991461165932,107.30428106701365
OR,OR007@12_0.mat,vibration,1289.0625,-25.61635976743662,107.30428106701365
OR,OR007@12_0.mat,vibration,1300.78125,-27.53318228834714,107.30428106701365
OR,OR007@12_0.mat,vibration,1312.5,-31.82111083775924,107.30428106701365
OR,OR007@12_0.mat,vibration,1324.21875,-31.046732321403372,107.30428106701365
OR,OR007@12_0.mat,vibration,1335.9375,-28.866568473910654,107.30428106701365
OR,OR007@12_0.mat,vibration,1347.65625,-28.10857609597686,107.30428106701365
OR,OR007@12_0.mat,vibration,1359.375,-28.520524526185046,107.30428106701365
OR,OR007@12_0.mat,vibration,1371.09375,-27.000221975636904,107.30428106701365
OR,OR007@12_0.mat,vibration,1382.8125,-29.83758378390716,107.30428106701365
OR,OR007@12_0.mat,vibration,1394.53125,-24.307030217240673,107.30428106701365
OR,OR007@12_0.mat,vibration,1406.25,-23.002715957147778,107.30428106701365
OR,OR007@12_0.mat,vibration,1417.96875,-27.52524005138671,107.30428106701365
OR,OR007@12_0.mat,vibration,1429.6875,-20.158953413817436,107.30428106701365
OR,OR007@12_0.mat,vibration,1441.40625,-18.900176034771007,107.30428106701365
OR,OR007@12_0.mat,vibration,1453.125,-26.358526937094023,107.30428106701365
OR,OR007@12_0.mat,vibration,1464.84375,-27.041685855088815,107.30428106701365
OR,OR007@12_0.mat,vibration,1476.5625,-27.801508783428318,107.30428106701365
OR,OR007@12_0.mat,vibration,1488.28125,-31.87997218015196,107.30428106701365
OR,OR007@12_0.mat,vibration,1500.0,-27.307838337933546,107.30428106701365
OR,OR007@12_0.mat,vibration,1511.71875,-26.2042957941095,107.30428106701365
OR,OR007@12_0.mat,vibration,1523.4375,-31.808118463612196,107.30428106701365
OR,OR007@12_0.mat,vibration,1535.15625,-31.786338670304858,107.30428106701365
OR,OR007@12_0.mat,vibration,1546.875,-29.35779434675885,107.30428106701365
OR,OR007@12_0.mat,vibration,1558.59375,-27.15304345475611,107.30428106701365
OR,OR007@12_0.mat,vibration,1570.3125,-31.07365317377353,107.30428106701365
OR,OR007@12_0.mat,vibration,1582.03125,-26.82439748475296,107.30428106701365
OR,OR007@12_0.mat,vibration,1593.75,-27.563729756560484,107.30428106701365
OR,OR007@12_0.mat,vibration,1605.46875,-28.645077855846004,107.30428106701365
OR,OR007@12_0.mat,vibration,1617.1875,-26.540317045777723,107.30428106701365
OR,OR007@12_0.mat,vibration,1628.90625,-32.246982507154954,107.30428106701365
OR,OR007@12_0.mat,vibration,1640.625,-32.59488451917611,107.30428106701365
OR,OR007@12_0.mat,vibration,1652.34375,-30.87048939794998,107.30428106701365
OR,OR007@12_0.mat,vibration,1664.0625,-30.18653648139372,107.30428106701365
OR,OR007@12_0.mat,vibration,1675.78125,-28.232874085462644,107.30428106701365
OR,OR007@12_0.mat,vibration,1687.5,-29.760391910631625,107.30428106701365
OR,OR007@12_0.mat,vibration,1699.21875,-28.739290983521386,107.30428106701365
OR,OR007@12_0.mat,vibration,1710.9375,-28.867593600164867,107.30428106701365
OR,OR007@12_0.mat,vibration,1722.65625,-27.244525786437904,107.30428106701365
OR,OR007@12_0.mat,vibration,1734.375,-27.37360827859746,107.30428106701365
OR,OR007@12_0.mat,vibration,1746.09375,-30.673118411192817,107.30428106701365
OR,OR007@12_0.mat,vibration,1757.8125,-33.16212395704632,107.30428106701365
OR,OR007@12_0.mat,vibration,1769.53125,-30.7856176505968,107.30428106701365
OR,OR007@12_0.mat,vibration,1781.25,-32.09793459006932,107.30428106701365
OR,OR007@12_0.mat,vibration,1792.96875,-33.24776303516521,107.30428106701365
OR,OR007@12_0.mat,vibration,1804.6875,-33.83256921829071,107.30428106701365
OR,OR007@12_0.mat,vibration,1816.40625,-31.983929439172705,107.30428106701365
OR,OR007@12_0.mat,vibration,1828.125,-27.865780261330364,107.30428106701365
OR,OR007@12_0.mat,vibration,1839.84375,-30.205731711817695,107.30428106701365
OR,OR007@12_0.mat,vibration,1851.5625,-32.73094937546427,107.30428106701365
OR,OR007@12_0.mat,vibration,1863.28125,-32.65111158561585,107.30428106701365
OR,OR007@12_0.mat,vibration,1875.0,-29.584338536248296,107.30428106701365
OR,OR007@12_0.mat,vibration,1886.71875,-27.73886694281793,107.30428106701365
OR,OR007@12_0.mat,vibration,1898.4375,-31.430510675503488,107.30428106701365
OR,OR007@12_0.mat,vibration,1910.15625,-29.74154000850644,107.30428106701365
OR,OR007@12_0.mat,vibration,1921.875,-26.992986287248026,107.30428106701365
OR,OR007@12_0.mat,vibration,1933.59375,-20.59370155857769,107.30428106701365
OR,OR007@12_0.mat,vibration,1945.3125,-20.57982335853591,107.30428106701365
OR,OR007@12_0.mat,vibration,1957.03125,-25.827290958757764,107.30428106701365
OR,OR007@12_0.mat,vibration,1968.75,-25.483866177005055,107.30428106701365
OR,OR007@12_0.mat,vibration,1980.46875,-21.422566781058162,107.30428106701365
OR,OR007@12_0.mat,vibration,1992.1875,-22.15658620871032,107.30428106701365
OR,OR007@12_0.mat,vibration,2003.90625,-25.434381951896825,107.30428106701365
OR,OR007@12_0.mat,vibration,2015.625,-28.45373651448584,107.30428106701365
OR,OR007@12_0.mat,vibration,2027.34375,-30.317571450042905,107.30428106701365
OR,OR007@12_0.mat,vibration,2039.0625,-28.221300273260734,107.30428106701365
OR,OR007@12_0.mat,vibration,2050.78125,-31.11749517376679,107.30428106701365
OR,OR007@12_0.mat,vibration,2062.5,-33.9438980969105,107.30428106701365
OR,OR007@12_0.mat,vibration,2074.21875,-33.02242202302295,107.30428106701365
OR,OR007@12_0.mat,vibration,2085.9375,-31.709737010132265,107.30428106701365
OR,OR007@12_0.mat,vibration,2097.65625,-29.91518306534248,107.30428106701365
OR,OR007@12_0.mat,vibration,2109.375,-33.36511378959357,107.30428106701365
OR,OR007@12_0.mat,vibration,2121.09375,-33.807206570378284,107.30428106701365
OR,OR007@12_0.mat,vibration,2132.8125,-31.001462375402177,107.30428106701365
OR,OR007@12_0.mat,vibration,2144.53125,-25.877994123018215,107.30428106701365
OR,OR007@12_0.mat,vibration,2156.25,-23.432718112475474,107.30428106701365
OR,OR007@12_0.mat,vibration,2167.96875,-29.013666805041268,107.30428106701365
OR,OR007@12_0.mat,vibration,2179.6875,-30.828638052151728,107.30428106701365
OR,OR007@12_0.mat,vibration,2191.40625,-27.026285237084245,107.30428106701365
OR,OR007@12_0.mat,vibration,2203.125,-24.850775455802534,107.30428106701365
OR,OR007@12_0.mat,vibration,2214.84375,-26.728202954659352,107.30428106701365
OR,OR007@12_0.mat,vibration,2226.5625,-26.311575188841445,107.30428106701365
OR,OR007@12_0.mat,vibration,2238.28125,-23.018937050478534,107.30428106701365
OR,OR007@12_0.mat,vibration,2250.0,-20.553148129592937,107.30428106701365
OR,OR007@12_0.mat,vibration,2261.71875,-17.313063442047955,107.30428106701365
OR,OR007@12_0.mat,vibration,2273.4375,-22.04906118722389,107.30428106701365
OR,OR007@12_0.mat,vibration,2285.15625,-26.640167327684967,107.30428106701365
OR,OR007@12_0.mat,vibration,2296.875,-25.069002356073838,107.30428106701365
OR,OR007@12_0.mat,vibration,2308.59375,-23.442575177473213,107.30428106701365
OR,OR007@12_0.mat,vibration,2320.3125,-25.39650666860816,107.30428106701365
OR,OR007@12_0.mat,vibration,2332.03125,-29.148966211766535,107.30428106701365
OR,OR007@12_0.mat,vibration,2343.75,-30.979918589468646,107.30428106701365
OR,OR007@12_0.mat,vibration,2355.46875,-24.104876968866506,107.30428106701365
OR,OR007@12_0.mat,vibration,2367.1875,-17.63971191858034,107.30428106701365
OR,OR007@12_0.mat,vibration,2378.90625,-20.767519843528852,107.30428106701365
OR,OR007@12_0.mat,vibration,2390.625,-23.469058650810975,107.30428106701365
OR,OR007@12_0.mat,vibration,2402.34375,-20.37997211574453,107.30428106701365
OR,OR007@12_0.mat,vibration,2414.0625,-19.42858835353806,107.30428106701365
OR,OR007@12_0.mat,vibration,2425.78125,-18.054881313866403,107.30428106701365
OR,OR007@12_0.mat,vibration,2437.5,-19.690328952390676,107.30428106701365
OR,OR007@12_0.mat,vibration,2449.21875,-18.851599308751123,107.30428106701365
OR,OR007@12_0.mat,vibration,2460.9375,-13.745439085863108,107.30428106701365
OR,OR007@12_0.mat,vibration,2472.65625,-9.841786018055965,107.30428106701365
OR,OR007@12_0.mat,vibration,2484.375,-10.800672543087686,107.30428106701365
OR,OR007@12_0.mat,vibration,2496.09375,-13.48181729701971,107.30428106701365
OR,OR007@12_0.mat,vibration,2507.8125,-10.191671230932302,107.30428106701365
OR,OR007@12_0.mat,vibration,2519.53125,-7.36770582894207,107.30428106701365
OR,OR007@12_0.mat,vibration,2531.25,-4.79787205623505,107.30428106701365
OR,OR007@12_0.mat,vibration,2542.96875,-5.713319893469857,107.30428106701365
OR,OR007@12_0.mat,vibration,2554.6875,-7.797074232559393,107.30428106701365
OR,OR007@12_0.mat,vibration,2566.40625,-7.093541926854555,107.30428106701365
OR,OR007@12_0.mat,vibration,2578.125,-0.09637081349440668,107.30428106701365
OR,OR007@12_0.mat,vibration,2589.84375,-1.3190495411632386e-08,107.30428106701365
OR,OR007@12_0.mat,vibration,2601.5625,-8.767019673023126,107.30428106701365
OR,OR007@12_0.mat,vibration,2613.28125,-7.88609102189917,107.30428106701365
OR,OR007@12_0.mat,vibration,2625.0,-5.642614859987863,107.30428106701365
OR,OR007@12_0.mat,vibration,2636.71875,-4.677342526348614,107.30428106701365
OR,OR007@12_0.mat,vibration,2648.4375,-6.187927716766319,107.30428106701365
OR,OR007@12_0.mat,vibration,2660.15625,-7.360922929622524,107.30428106701365
OR,OR007@12_0.mat,vibration,2671.875,-7.733666215591787,107.30428106701365
OR,OR007@12_0.mat,vibration,2683.59375,-3.8272674045437527,107.30428106701365
OR,OR007@12_0.mat,vibration,2695.3125,-2.727537605307088,107.30428106701365
OR,OR007@12_0.mat,vibration,2707.03125,-7.336018335694989,107.30428106701365
OR,OR007@12_0.mat,vibration,2718.75,-7.451678490514745,107.30428106701365
OR,OR007@12_0.mat,vibration,2730.46875,-7.736206533630181,107.30428106701365
OR,OR007@12_0.mat,vibration,2742.1875,-9.016823289326927,107.30428106701365
OR,OR007@12_0.mat,vibration,2753.90625,-7.866356269032878,107.30428106701365
OR,OR007@12_0.mat,vibration,2765.625,-7.961091131298694,107.30428106701365
OR,OR007@12_0.mat,vibration,2777.34375,-6.136380809247608,107.30428106701365
OR,OR007@12_0.mat,vibration,2789.0625,-4.5014739099072365,107.30428106701365
OR,OR007@12_0.mat,vibration,2800.78125,-7.255413867593912,107.30428106701365
OR,OR007@12_0.mat,vibration,2812.5,-5.3538265911649905,107.30428106701365
OR,OR007@12_0.mat,vibration,2824.21875,-7.702980126112977,107.30428106701365
OR,OR007@12_0.mat,vibration,2835.9375,-10.713997144930687,107.30428106701365
OR,OR007@12_0.mat,vibration,2847.65625,-11.576279291308978,107.30428106701365
OR,OR007@12_0.mat,vibration,2859.375,-11.529047340176424,107.30428106701365
OR,OR007@12_0.mat,vibration,2871.09375,-9.566595520694673,107.30428106701365
OR,OR007@12_0.mat,vibration,2882.8125,-7.936707373848981,107.30428106701365
OR,OR007@12_0.mat,vibration,2894.53125,-7.223782149308803,107.30428106701365
OR,OR007@12_0.mat,vibration,2906.25,-5.13717094589312,107.30428106701365
OR,OR007@12_0.mat,vibration,2917.96875,-8.43187628210407,107.30428106701365
OR,OR007@12_0.mat,vibration,2929.6875,-11.272526258848961,107.30428106701365
OR,OR007@12_0.mat,vibration,2941.40625,-11.923099224750395,107.30428106701365
OR,OR007@12_0.mat,vibration,2953.125,-17.16058336031213,107.30428106701365
OR,OR007@12_0.mat,vibration,2964.84375,-21.130906240752157,107.30428106701365
OR,OR007@12_0.mat,vibration,2976.5625,-18.813537448172518,107.30428106701365
OR,OR007@12_0.mat,vibration,2988.28125,-16.70038290565046,107.30428106701365
OR,OR007@12_0.mat,vibration,3000.0,-13.674289675313409,107.30428106701365
OR,OR007@12_0.mat,vibration,3011.71875,-11.271483471442545,107.30428106701365
OR,OR007@12_0.mat,vibration,3023.4375,-13.558235820443361,107.30428106701365
OR,OR007@12_0.mat,vibration,3035.15625,-17.636166997007642,107.30428106701365
OR,OR007@12_0.mat,vibration,3046.875,-18.958405887520605,107.30428106701365
OR,OR007@12_0.mat,vibration,3058.59375,-24.228126839393486,107.30428106701365
OR,OR007@12_0.mat,vibration,3070.3125,-21.569944941451823,107.30428106701365
OR,OR007@12_0.mat,vibration,3082.03125,-24.809861166600463,107.30428106701365
OR,OR007@12_0.mat,vibration,3093.75,-23.053856836902476,107.30428106701365
OR,OR007@12_0.mat,vibration,3105.46875,-21.17063595964332,107.30428106701365
OR,OR007@12_0.mat,vibration,3117.1875,-21.59724506259698,107.30428106701365
OR,OR007@12_0.mat,vibration,3128.90625,-20.876066830689943,107.30428106701365
OR,OR007@12_0.mat,vibration,3140.625,-22.04823723436103,107.30428106701365
OR,OR007@12_0.mat,vibration,3152.34375,-23.38422317606316,107.30428106701365
OR,OR007@12_0.mat,vibration,3164.0625,-24.293486623956785,107.30428106701365
OR,OR007@12_0.mat,vibration,3175.78125,-26.363101816221754,107.30428106701365
OR,OR007@12_0.mat,vibration,3187.5,-25.05247829269882,107.30428106701365
OR,OR007@12_0.mat,vibration,3199.21875,-22.070204728867093,107.30428106701365
OR,OR007@12_0.mat,vibration,3210.9375,-17.39268290943323,107.30428106701365
OR,OR007@12_0.mat,vibration,3222.65625,-12.890685517953715,107.30428106701365
OR,OR007@12_0.mat,vibration,3234.375,-11.755836403924743,107.30428106701365
OR,OR007@12_0.mat,vibration,3246.09375,-12.27013025165066,107.30428106701365
OR,OR007@12_0.mat,vibration,3257.8125,-11.24894977794238,107.30428106701365
OR,OR007@12_0.mat,vibration,3269.53125,-11.65500350771109,107.30428106701365
OR,OR007@12_0.mat,vibration,3281.25,-13.243076397282037,107.30428106701365
OR,OR007@12_0.mat,vibration,3292.96875,-11.797919830505109,107.30428106701365
OR,OR007@12_0.mat,vibration,3304.6875,-7.448163785630153,107.30428106701365
OR,OR007@12_0.mat,vibration,3316.40625,-7.165929658933539,107.30428106701365
OR,OR007@12_0.mat,vibration,3328.125,-6.13134519176586,107.30428106701365
OR,OR007@12_0.mat,vibration,3339.84375,-7.52254174947978,107.30428106701365
OR,OR007@12_0.mat,vibration,3351.5625,-9.050390580357847,107.30428106701365
OR,OR007@12_0.mat,vibration,3363.28125,-7.050762266559223,107.30428106701365
OR,OR007@12_0.mat,vibration,3375.0,-8.776651408966057,107.30428106701365
OR,OR007@12_0.mat,vibration,3386.71875,-12.040332957300437,107.30428106701365
OR,OR007@12_0.mat,vibration,3398.4375,-11.941608061776945,107.30428106701365
OR,OR007@12_0.mat,vibration,3410.15625,-10.376213603770347,107.30428106701365
OR,OR007@12_0.mat,vibration,3421.875,-9.706840884691525,107.30428106701365
OR,OR007@12_0.mat,vibration,3433.59375,-11.556238462393083,107.30428106701365
OR,OR007@12_0.mat,vibration,3445.3125,-15.720127150654552,107.30428106701365
OR,OR007@12_0.mat,vibration,3457.03125,-15.893752983248126,107.30428106701365
OR,OR007@12_0.mat,vibration,3468.75,-16.009005771781478,107.30428106701365
OR,OR007@12_0.mat,vibration,3480.46875,-17.24505639873412,107.30428106701365
OR,OR007@12_0.mat,vibration,3492.1875,-21.12190270885421,107.30428106701365
OR,OR007@12_0.mat,vibration,3503.90625,-24.30954444574772,107.30428106701365
OR,OR007@12_0.mat,vibration,3515.625,-22.92901802508345,107.30428106701365
OR,OR007@12_0.mat,vibration,3527.34375,-20.310241168620887,107.30428106701365
OR,OR007@12_0.mat,vibration,3539.0625,-17.605271917751114,107.30428106701365
OR,OR007@12_0.mat,vibration,3550.78125,-18.391589831942383,107.30428106701365
OR,OR007@12_0.mat,vibration,3562.5,-19.637480373803648,107.30428106701365
OR,OR007@12_0.mat,vibration,3574.21875,-19.078457405689036,107.30428106701365
OR,OR007@12_0.mat,vibration,3585.9375,-17.387248948710585,107.30428106701365
OR,OR007@12_0.mat,vibration,3597.65625,-21.66690177416865,107.30428106701365
OR,OR007@12_0.mat,vibration,3609.375,-25.072297676304586,107.30428106701365
OR,OR007@12_0.mat,vibration,3621.09375,-23.492981387381988,107.30428106701365
OR,OR007@12_0.mat,vibration,3632.8125,-22.180856410309147,107.30428106701365
OR,OR007@12_0.mat,vibration,3644.53125,-21.719743729412123,107.30428106701365
OR,OR007@12_0.mat,vibration,3656.25,-19.25529688609633,107.30428106701365
OR,OR007@12_0.mat,vibration,3667.96875,-20.64431965612105,107.30428106701365
OR,OR007@12_0.mat,vibration,3679.6875,-22.59351794892387,107.30428106701365
OR,OR007@12_0.mat,vibration,3691.40625,-22.862084081878173,107.30428106701365
OR,OR007@12_0.mat,vibration,3703.125,-27.506207851037033,107.30428106701365
OR,OR007@12_0.mat,vibration,3714.84375,-29.31947769266587,107.30428106701365
OR,OR007@12_0.mat,vibration,3726.5625,-27.963519382304206,107.30428106701365
OR,OR007@12_0.mat,vibration,3738.28125,-26.928269053377427,107.30428106701365
OR,OR007@12_0.mat,vibration,3750.0,-25.519426060345808,107.30428106701365
OR,OR007@12_0.mat,vibration,3761.71875,-26.07213158479952,107.30428106701365
OR,OR007@12_0.mat,vibration,3773.4375,-29.944642930843063,107.30428106701365
OR,OR007@12_0.mat,vibration,3785.15625,-26.184850945406573,107.30428106701365
OR,OR007@12_0.mat,vibration,3796.875,-26.523325630032033,107.30428106701365
OR,OR007@12_0.mat,vibration,3808.59375,-26.10020678499289,107.30428106701365
OR,OR007@12_0.mat,vibration,3820.3125,-28.264063818629293,107.30428106701365
OR,OR007@12_0.mat,vibration,3832.03125,-30.667827150438338,107.30428106701365
OR,OR007@12_0.mat,vibration,3843.75,-29.18133030125213,107.30428106701365
OR,OR007@12_0.mat,vibration,3855.46875,-29.602938799228404,107.30428106701365
OR,OR007@12_0.mat,vibration,3867.1875,-29.631293408109144,107.30428106701365
OR,OR007@12_0.mat,vibration,3878.90625,-31.30487230206347,107.30428106701365
OR,OR007@12_0.mat,vibration,3890.625,-32.16091904401436,107.30428106701365
OR,OR007@12_0.mat,vibration,3902.34375,-30.11317440553704,107.30428106701365
OR,OR007@12_0.mat,vibration,3914.0625,-30.6547040925061,107.30428106701365
OR,OR007@12_0.mat,vibration,3925.78125,-34.93469288132706,107.30428106701365
OR,OR007@12_0.mat,vibration,3937.5,-34.797832397632135,107.30428106701365
OR,OR007@12_0.mat,vibration,3949.21875,-33.849388852130005,107.30428106701365
OR,OR007@12_0.mat,vibration,3960.9375,-32.630613099443146,107.30428106701365
OR,OR007@12_0.mat,vibration,3972.65625,-30.15815188905762,107.30428106701365
OR,OR007@12_0.mat,vibration,3984.375,-32.41819465677627,107.30428106701365
OR,OR007@12_0.mat,vibration,3996.09375,-31.579720704160536,107.30428106701365
OR,OR007@12_0.mat,vibration,4007.8125,-29.96427047684181,107.30428106701365
