window_id,independent_object_id,window_start_s,window_end_s,p_B,p_IR,p_N,p_OR,target_id,window_index
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0000,data/raw/target_domain/train_bearing_a_to_p/C.mat,0.0,1.0,0.11333333333333333,0.16,0.09333333333333334,0.6333333333333333,C,0
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0001,data/raw/target_domain/train_bearing_a_to_p/C.mat,0.5,1.5,0.11333333333333333,0.16333333333333333,0.09333333333333334,0.63,C,1
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0002,data/raw/target_domain/train_bearing_a_to_p/C.mat,1.0,2.0,0.12,0.16333333333333333,0.09333333333333334,0.6233333333333333,C,2
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0003,data/raw/target_domain/train_bearing_a_to_p/C.mat,1.5,2.5,0.11666666666666667,0.16666666666666666,0.09333333333333334,0.6233333333333333,C,3
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0004,data/raw/target_domain/train_bearing_a_to_p/C.mat,2.0,3.0,0.12,0.15666666666666668,0.09333333333333334,0.63,C,4
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0005,data/raw/target_domain/train_bearing_a_to_p/C.mat,2.5,3.5,0.11333333333333333,0.17,0.09333333333333334,0.6233333333333333,C,5
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0006,data/raw/target_domain/train_bearing_a_to_p/C.mat,3.0,4.0,0.11,0.16333333333333333,0.09333333333333334,0.6333333333333333,C,6
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0007,data/raw/target_domain/train_bearing_a_to_p/C.mat,3.5,4.5,0.11,0.16333333333333333,0.09333333333333334,0.6333333333333333,C,7
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0008,data/raw/target_domain/train_bearing_a_to_p/C.mat,4.0,5.0,0.11333333333333333,0.16333333333333333,0.09333333333333334,0.63,C,8
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0009,data/raw/target_domain/train_bearing_a_to_p/C.mat,4.5,5.5,0.11666666666666667,0.16666666666666666,0.09333333333333334,0.6233333333333333,C,9
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0010,data/raw/target_domain/train_bearing_a_to_p/C.mat,5.0,6.0,0.11333333333333333,0.17333333333333334,0.09333333333333334,0.62,C,10
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0011,data/raw/target_domain/train_bearing_a_to_p/C.mat,5.5,6.5,0.11333333333333333,0.16333333333333333,0.09333333333333334,0.63,C,11
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0012,data/raw/target_domain/train_bearing_a_to_p/C.mat,6.0,7.0,0.10666666666666667,0.16,0.09333333333333334,0.64,C,12
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0013,data/raw/target_domain/train_bearing_a_to_p/C.mat,6.5,7.5,0.11666666666666667,0.15666666666666668,0.09333333333333334,0.6333333333333333,C,13
target::data/raw/target_domain/train_bearing_a_to_p/C.mat::w0014,data/raw/target_domain/train_bearing_a_to_p/C.mat,7.0,8.0,0.11666666666666667,0.16333333333333333,0.09333333333333334,0.6266666666666667,C,14
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0000,data/raw/target_domain/train_bearing_a_to_p/O.mat,0.0,1.0,0.31,0.1,0.12,0.47,O,0
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0001,data/raw/target_domain/train_bearing_a_to_p/O.mat,0.5,1.5,0.31333333333333335,0.12666666666666668,0.12,0.44,O,1
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0002,data/raw/target_domain/train_bearing_a_to_p/O.mat,1.0,2.0,0.33,0.10333333333333333,0.12,0.44666666666666666,O,2
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0003,data/raw/target_domain/train_bearing_a_to_p/O.mat,1.5,2.5,0.2733333333333333,0.10666666666666667,0.12333333333333334,0.49666666666666665,O,3
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0004,data/raw/target_domain/train_bearing_a_to_p/O.mat,2.0,3.0,0.3233333333333333,0.10333333333333333,0.12,0.4533333333333333,O,4
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0005,data/raw/target_domain/train_bearing_a_to_p/O.mat,2.5,3.5,0.31666666666666665,0.13,0.12,0.43333333333333335,O,5
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0006,data/raw/target_domain/train_bearing_a_to_p/O.mat,3.0,4.0,0.32666666666666666,0.10333333333333333,0.12,0.45,O,6
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0007,data/raw/target_domain/train_bearing_a_to_p/O.mat,3.5,4.5,0.31,0.11333333333333333,0.12,0.45666666666666667,O,7
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0008,data/raw/target_domain/train_bearing_a_to_p/O.mat,4.0,5.0,0.31333333333333335,0.10333333333333333,0.12,0.4633333333333333,O,8
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0009,data/raw/target_domain/train_bearing_a_to_p/O.mat,4.5,5.5,0.2966666666666667,0.12666666666666668,0.12,0.45666666666666667,O,9
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0010,data/raw/target_domain/train_bearing_a_to_p/O.mat,5.0,6.0,0.3,0.12,0.11333333333333333,0.4666666666666667,O,10
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0011,data/raw/target_domain/train_bearing_a_to_p/O.mat,5.5,6.5,0.33,0.10333333333333333,0.12,0.44666666666666666,O,11
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0012,data/raw/target_domain/train_bearing_a_to_p/O.mat,6.0,7.0,0.31,0.12333333333333334,0.12,0.44666666666666666,O,12
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0013,data/raw/target_domain/train_bearing_a_to_p/O.mat,6.5,7.5,0.32,0.10666666666666667,0.12,0.4533333333333333,O,13
target::data/raw/target_domain/train_bearing_a_to_p/O.mat::w0014,data/raw/target_domain/train_bearing_a_to_p/O.mat,7.0,8.0,0.32,0.10666666666666667,0.12,0.4533333333333333,O,14
