pc1,pc2,domain,label,object_id,target_id,explained_variance_pc1,explained_variance_pc2
-23.79715402130145,-4.1231958436545755,source,IR,data/raw/source_domain/cwru_48khz_de/IR014_2.mat,,0.9797502623501344,0.01300945815456726
-23.762842370936266,-3.997220930072268,source,IR,data/raw/source_domain/cwru_48khz_de/IR014_3.mat,,0.9797502623501344,0.01300945815456726
-22.635927805332194,-1.6791415594478842,source,IR,data/raw/source_domain/cwru_48khz_de/IR021_0.mat,,0.9797502623501344,0.01300945815456726
-22.457364700846068,-1.977382372655649,source,IR,data/raw/source_domain/cwru_48khz_de/IR021_1.mat,,0.9797502623501344,0.01300945815456726
-21.734266113598213,-1.547804201208592,source,IR,data/raw/source_domain/cwru_48khz_de/IR021_2.mat,,0.9797502623501344,0.01300945815456726
-23.943197728953557,-2.4879769102515437,source,IR,data/raw/source_domain/cwru_48khz_de/IR021_3.mat,,0.9797502623501344,0.01300945815456726
-24.782469002611712,-2.5550300535165777,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,,0.9797502623501344,0.01300945815456726
-24.148514232969372,-2.8845015363481674,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,,0.9797502623501344,0.01300945815456726
-24.070988245212426,-2.975577289893941,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,,0.9797502623501344,0.01300945815456726
-24.222250488337764,-3.0516347376211037,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@12_3.mat,,0.9797502623501344,0.01300945815456726
-23.796363345088814,-1.6060538007567764,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,,0.9797502623501344,0.01300945815456726
-23.41180239046509,-1.396166775381408,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,,0.9797502623501344,0.01300945815456726
-23.507128667199346,-1.5191526612244601,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,,0.9797502623501344,0.01300945815456726
-23.558984086183912,-1.3744630632629402,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@3_3.mat,,0.9797502623501344,0.01300945815456726
-17.892873524329453,0.640045500448557,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,,0.9797502623501344,0.01300945815456726
-19.095915354858775,-0.03736996178044283,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,,0.9797502623501344,0.01300945815456726
-19.382404706432947,0.04550375122763883,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,,0.9797502623501344,0.01300945815456726
-19.393877341256655,-0.08944186618448491,source,OR,data/raw/source_domain/cwru_48khz_de/OR007@6_3.mat,,0.9797502623501344,0.01300945815456726
-25.288315374464233,-2.4296202730971923,source,OR,data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,,0.9797502623501344,0.01300945815456726
-25.470874424431244,-1.9144977207688867,source,OR,data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,,0.9797502623501344,0.01300945815456726
-25.427458243045105,-1.9961006876243184,source,OR,data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,,0.9797502623501344,0.01300945815456726
-25.404826575156637,-2.0568896668606254,source,OR,data/raw/source_domain/cwru_48khz_de/OR014@6_3.mat,,0.9797502623501344,0.01300945815456726
-20.39320141781958,-4.09155188929123,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,,0.9797502623501344,0.01300945815456726
-21.0642662524568,-4.00309801076911,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,,0.9797502623501344,0.01300945815456726
-21.50580318315163,-4.022222651427999,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,,0.9797502623501344,0.01300945815456726
-22.183711446980393,-3.9392547489870204,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@12_3.mat,,0.9797502623501344,0.01300945815456726
-22.915684093433523,-2.3263280972333127,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,,0.9797502623501344,0.01300945815456726
-20.22669981543637,-1.9469935307586228,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,,0.9797502623501344,0.01300945815456726
-20.78408478264753,-1.9078843491393296,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,,0.9797502623501344,0.01300945815456726
-20.980082970042112,-2.0353800336313883,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@3_3.mat,,0.9797502623501344,0.01300945815456726
-19.46945635194527,-3.5597690891209615,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,,0.9797502623501344,0.01300945815456726
-20.474628468567772,-3.1426813503162228,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,,0.9797502623501344,0.01300945815456726
-20.218578252627726,-3.311337768170171,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@6_2.mat,,0.9797502623501344,0.01300945815456726
-20.014998363380354,-3.686262859063807,source,OR,data/raw/source_domain/cwru_48khz_de/OR021@6_3.mat,,0.9797502623501344,0.01300945815456726
-25.736250699627284,-0.9861469257262101,source,N,data/raw/source_domain/cwru_48khz_normal/N_0.mat,,0.9797502623501344,0.01300945815456726
-25.776559963518938,-1.011840028884984,source,N,data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,,0.9797502623501344,0.01300945815456726
-25.71374372640324,-0.5639939890624022,source,N,data/raw/source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,,0.9797502623501344,0.01300945815456726
-25.6641267842341,-0.2715787501424556,source,N,data/raw/source_domain/cwru_48khz_normal/N_3.mat,,0.9797502623501344,0.01300945815456726
-4.946320310386618,9.43060974003989,target,OR,data/raw/target_domain/train_bearing_a_to_p/A.mat,A,0.9797502623501344,0.01300945815456726
-14.292597422566786,3.2954207312770007,target,OR,data/raw/target_domain/train_bearing_a_to_p/B.mat,B,0.9797502623501344,0.01300945815456726
312.7140493317305,3.572169229434964,target,OR,data/raw/target_domain/train_bearing_a_to_p/C.mat,C,0.9797502623501344,0.01300945815456726
22.994425817517257,23.669764222700458,target,OR,data/raw/target_domain/train_bearing_a_to_p/D.mat,D,0.9797502623501344,0.01300945815456726
148.59450480352325,-2.740205373321529,target,OR,data/raw/target_domain/train_bearing_a_to_p/E.mat,E,0.9797502623501344,0.01300945815456726
7.902892535325581,17.399851436308225,target,OR,data/raw/target_domain/train_bearing_a_to_p/F.mat,F,0.9797502623501344,0.01300945815456726
-14.221215463935929,4.148767847437195,target,OR,data/raw/target_domain/train_bearing_a_to_p/G.mat,G,0.9797502623501344,0.01300945815456726
51.97604042831608,21.69383448585127,target,OR,data/raw/target_domain/train_bearing_a_to_p/H.mat,H,0.9797502623501344,0.01300945815456726
270.41266523725517,11.004956087463182,target,OR,data/raw/target_domain/train_bearing_a_to_p/I.mat,I,0.9797502623501344,0.01300945815456726
341.2458169905559,-25.307541639001244,target,OR,data/raw/target_domain/train_bearing_a_to_p/J.mat,J,0.9797502623501344,0.01300945815456726
43.77532319082475,21.848640936543134,target,OR,data/raw/target_domain/train_bearing_a_to_p/K.mat,K,0.9797502623501344,0.01300945815456726
-13.452817292613878,6.012598034299007,target,OR,data/raw/target_domain/train_bearing_a_to_p/L.mat,L,0.9797502623501344,0.01300945815456726
34.57691352048701,25.589919476275853,target,OR,data/raw/target_domain/train_bearing_a_to_p/M.mat,M,0.9797502623501344,0.01300945815456726
102.50484791874294,-19.207351339958173,target,OR,data/raw/target_domain/train_bearing_a_to_p/N.mat,N,0.9797502623501344,0.01300945815456726
-16.05546830493997,4.506085016086493,target,OR,data/raw/target_domain/train_bearing_a_to_p/O.mat,O,0.9797502623501344,0.01300945815456726
24.066290178908236,24.03504172928274,target,OR,data/raw/target_domain/train_bearing_a_to_p/P.mat,P,0.9797502623501344,0.01300945815456726
