record_id,timestamp_utc,step_id,artifact_type,artifact_id,version_id,parent_version_id,status,run_id,code_version_id,data_version_id,config_sha256,environment_sha256,sha256,path,notes
VER-04B-WORD-V05,2026-09-19T18:45:20Z,04-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.5-dfbb5d0e,WORD-V0.4-ddc7abf1,validated,run_04-B_20260919T184520000000Z_48bbc0c6_dfbb5d0e,CODE-cc093a709cae50fe,FREEZE-04A-d60f9e54ae8aa2e2,8e26836a8095cdca7b74d6c2594ebb81a1a012310e3629ddfad68933dac3fe37,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,dfbb5d0ed45b47ef30d0336d273e2d425d5d43f57e24f2a9246ce8da9e68feee,/数学建模/04B/2025华为杯E题论文_步骤04_V0.5.docx,仅基于通过的04-A冻结包在V0.4母稿增量回写；新增4张表和问题一小结；未新增未冻结相关性图；未训练/调参/选模
VER-04B-DELIVERY,2026-09-19T18:45:20Z,04-B,B_delivery,B-DELIVERY-04B,BDEL-04B-600d9fb0,WORD-V0.5-dfbb5d0e,validated,run_04-B_20260919T184520000000Z_48bbc0c6_dfbb5d0e,CODE-cc093a709cae50fe,FREEZE-04A-d60f9e54ae8aa2e2,8e26836a8095cdca7b74d6c2594ebb81a1a012310e3629ddfad68933dac3fe37,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,600d9fb02687886a6e971cd2cbd99617851c5aebb897759f4d287429573b0a7c,/数学建模/04B/B_delivery_04B.json,记录04-A切片/特征构建结果的论文回写、数据接口、泄漏防线与Word持久性验证
VER-05B-WORD-V06,2026-09-19T19:50:06Z,05-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.6-f1131a5f,WORD-V0.5-dfbb5d0e,validated,run_05-B_20260919T195006000000Z_338d8e27_f1131a5f,CODE-09bb7e36d9ba3206,FREEZE-05A-338d8e27604c2606,40b96d814471cb266666964024cc6a7b48fcf742d38b49e2fdd53e4db9390b7f,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,f1131a5f160bf53821d87e88be611b93f26f916d5941596bc58387f26bcf3026,/数学建模/05B/2025华为杯E题论文_步骤05_V0.6.docx,仅基于通过的05-A冻结协议在V0.5母稿增量回写；新增表14-表15与5.2.1评价协议；未训练/调参/选模，未写入模型成绩
VER-05B-DELIVERY,2026-09-19T19:50:06Z,05-B,B_delivery,B-DELIVERY-05B,BDEL-05B-ecb61dbb,WORD-V0.6-f1131a5f,validated,run_05-B_20260919T195006000000Z_338d8e27_f1131a5f,CODE-09bb7e36d9ba3206,FREEZE-05A-338d8e27604c2606,40b96d814471cb266666964024cc6a7b48fcf742d38b49e2fdd53e4db9390b7f,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,ecb61dbbe32b58b4f2257fd6254a5c63d4c8cc16f8885c33b063058483502ab4,/数学建模/05B/B_delivery_05B.json,记录05-A分组划分与评价协议的论文回写、Word持久性和无成绩越界验证
VER-06B-WORD-V07,2026-09-20T04:22:58Z,06-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.7-0e671b79,WORD-V0.6-f1131a5f,validated,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,CODE-6da78131d4bed122,FREEZE-06A-e55b030399965f25,698fc6f7c9ad796178fd42d934d0872e3c26e9f538547005cd4753dbbeacce14,868d181a65863fe27446ee9307723200a78f0e26ce7a1ce47d9ca40e91e4ccf3,0e671b79e603713d3c3a9924cfc8ad41de52f329a7b89166ddfe7a8ffae0b650,/数学建模/06B/2025华为杯E题论文_步骤06_V0.7.docx,仅基于06-A冻结结果在V0.6母稿增量回写；新增3张图、3张表和5.2.2基线真实评价；未重新训练/调参/选模
VER-06B-DELIVERY,2026-09-20T04:22:58Z,06-B,B_delivery,B-DELIVERY-06B,BDEL-06B-d6d1c67f,WORD-V0.7-0e671b79,validated,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,CODE-6da78131d4bed122,FREEZE-06A-e55b030399965f25,698fc6f7c9ad796178fd42d934d0872e3c26e9f538547005cd4753dbbeacce14,868d181a65863fe27446ee9307723200a78f0e26ce7a1ce47d9ca40e91e4ccf3,d6d1c67fb96fa581bd789dcc8f43ededf5c9a0bb71610d44a4a18c4fe6067bf7,/数学建模/06B/B_delivery_06B.json,记录06-A本轮LR基线结果、混淆矩阵、逐类指标、真实误判案例和Word持久性验证
VER-06B-WORD-V071-PATCH,2026-09-20T05:00:00Z,06-B,paper_word_visual_patch,LATEST_WORD,WORD-V0.7.1-317ed7ab,WORD-V0.7-0e671b79,validated,run_06-B_20260920T042258000000Z_e55b0303_0e671b79,CODE-6da78131d4bed122,FREEZE-06A-e55b030399965f25,698fc6f7c9ad796178fd42d934d0872e3c26e9f538547005cd4753dbbeacce14,868d181a65863fe27446ee9307723200a78f0e26ce7a1ce47d9ca40e91e4ccf3,317ed7ab475dc6f5e7cb784b6ff769760d76ad98fb760a98d7750731d1033c96,/数学建模/06B/2025华为杯E题论文_步骤06_V0.7.1_图表优化.docx,不改变06-A任何成绩或模型；仅将图5/图6由四柱均值图替换为可追溯的窗口级模型分数演化图，并同步改写案例解释；24页复验通过
VER-07B-WORD-V08,2026-09-20T05:50:01Z,07-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.8-1d19b9ed,WORD-V0.7.1-890aa7df,validated,run_07-B_20260920T055001000000Z_7e8829fb_1d19b9ed,CODE-b3f851bee945d637,FREEZE-07A-7e8829fb,a07ba4cb7bb7244b495c9bc60a49ed698eb793d5ad6a99f9b2f8931bd3f14518,f9c8d6bec7a0e144c964fd693ecfc2ddfe23abedefa3a048d45da7e2853c2058,1d19b9ed8f2cbaa21a756045ae7975561ab98494c64ee0480e604f3134d6a645,/数学建模/07B/2025华为杯E题论文_步骤07_V0.8.docx,仅基于07-A冻结结果在V0.7.1母稿增量回写；新增图7-8、表19、5.2.3与5.2.4问题二小结；未训练/调参/选模；28页渲染复验通过
VER-08B-WORD-V09,2026-09-20T06:29:14Z,08-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.9-28dc6d43,WORD-V0.8-1d19b9ed,validated,run_08-B_20260920T062914179544Z_8cd7401f_28dc6d43,CODE-07525150aea10bb0,FREEZE-08A-8cd7401f,a69225c24ce368b0101a5bbd5260045c695da168622154b2ab5c091496526b85,6bf86e32ff19a099f4acc13edf6ae5c7e2d2ab3c0999cea01279c49381ce1670,28dc6d439bc3e3cb18dbf866b109b817d0217ec0f9d522e5ebe36a8451341f08,/数学建模/08B/2025华为杯E题论文_步骤08_V0.9.docx,仅基于08-A冻结结果在V0.8母稿增量回写问题3域差异诊断/无迁移基线/模拟目标域；新增图9、表20-21；未训练/调参/选模；30页渲染复验通过
VER-08B-WORD-V091-PATCH,2026-09-20T06:37:00Z,08-B,paper_word_visual_patch,LATEST_WORD,WORD-V0.9.1-c3741e8b,WORD-V0.9-28dc6d43,validated,run_08-B_20260920T062914179544Z_8cd7401f_28dc6d43,VISUAL-PATCH-08B-01,FREEZE-08A-8cd7401f,,,c3741e8b505f8726a3e72a799f1701344c3566a76ecab61c8c5880f16fc493d6,/数学建模/08B/2025华为杯E题论文_步骤08_V0.9.1.docx,不改变08-A任何结果；仅将图9从三类特征族中位数柱图替换为8个逐特征域偏移点图，并同步精简相邻解释；30页复验通过
VER-09B-WORD-V10,2026-09-20T08:01:01Z,09-B,paper_word_mother_draft,LATEST_WORD,WORD-V1.0-cbbd4e50,WORD-V0.9.1-c3741e8b,validated,run_09-B_20260920T080101000000Z_26f99878_cbbd4e50,CODE-ec67029e432f2fb7,FREEZE-09A-26f99878,3b05062192667211afd690c8b5986759345c8316a9f5902f69b56e9afa92ca9e,c1cf8a7c67f29055f1157170ab88cd312a903fef0ab0ad7ef1351cfa9f1c3382,cbbd4e50959ab35d00abed5811e81667e5a28d97c5ada58f1f5eb081bc016b1e,/数学建模/09B/2025华为杯E题论文_步骤09_V1.0.docx,仅基于09-A冻结结果在V0.9.1母稿增量回写5.3.4无监督迁移模型与验证；新增图10、表22；未训练/调参/选模；32页渲染复验通过
VER-10B-WORD-V11,2026-09-20T09:13:27Z,10-B,paper_word_mother_draft,LATEST_WORD,WORD-V1.1-49e30c62,WORD-V1.0-cbbd4e50,validated,run_10-B_20260920T091327000000Z_4346ce31_49e30c62,CODE-ba4d79a9d13333c2,FREEZE-10A-4346ce31,1f6562c4359796d4b6187aba048202589de6054ca489f85c4313a61bcaa85fc2,f3a160ab3aba5062aa21be227d35c91e8857e4b8342bfdd18c26b833e9f7ec21,49e30c62d8da13091e427dbb5580be427e30a829f0929f6d484d50b94d2d6318,/数学建模/10B/2025华为杯E题论文_步骤10_V1.1.docx,仅基于10-A冻结结果在V1.0母稿增量回写5.3.5与5.3.6；新增图11、表23-24；未训练/调参/选模；36页渲染复验通过
VER-11B-WORD-V12,2026-09-20T15:38:44Z,11-B,paper_word_mother_draft,LATEST_WORD,WORD-V1.2-df1a4844,WORD-V1.1-49e30c62,validated,run_11-B_20260920T153844Z_1f812c22_df1a4844,CODE-7f90f03a18f1efd0,FREEZE-11A-1f812c22,,,df1a48443e0c0f723ed9fc114beb8ddba3bfbbb707895808a25e83758277b2e9,/数学建模/11B/2025华为杯E题论文_步骤11_V1.2.docx,仅基于11-A冻结结果在V1.1母稿增量完成5.4问题四；新增图12-15、表25-27及问题四小结；未训练/调参/选模；43页渲染复验通过
VER-11B-WORD-V12,2026-09-20T15:38:44Z,11-B,paper_word_mother_draft,LATEST_WORD,WORD-V1.2-df1a4844,WORD-V1.1-49e30c62,validated,run_11-B_20260920T153844Z_1f812c22_df1a4844,CODE-7f90f03a18f1efd0,FREEZE-11A-1f812c22,,,df1a48443e0c0f723ed9fc114beb8ddba3bfbbb707895808a25e83758277b2e9,/数学建模/11B/2025华为杯E题论文_步骤11_V1.2.docx,仅基于11-A冻结结果在V1.1母稿增量完成5.4问题四；新增图12-15、表25-27及问题四小结；未训练/调参/选模；43页渲染复验通过
VER-12B-WORD-V13,2026-09-20T17:08:37Z,12-B,paper_word_mother_draft,LATEST_WORD,WORD-V1.3-9c38c898,WORD-V1.2-df1a4844,validated,run_12-B_20260920T170837Z_f107c2fa_9c38c898,CODE-5da9a8db9fe66c9e,FREEZE-12A2-f107c2fa,ecdf81c636f9276011e5c7f5d4d5c1a45d553c9b14476af191620e6e47c9e4c6,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,9c38c898bb8ef0431c7074c7285b42c4b6d6be08c15ada0e749de37b1d4f6dd5,/数学建模/12B/2025华为杯E题论文_步骤12_V1.3.docx,仅基于12-A1审计与12-A2冻结结果在V1.2母稿增量回写；新增表28-32与模型检验/稳健性统一章节，并同步修正问题1-4、摘要、模型评价与结论；未重新训练/调参/选模；48页渲染复验通过
VER-13B2-WORD-V14,2026-09-21T04:56:36Z,13-B2,paper_word_mother_draft,LATEST_WORD,WORD-V1.4-e8eaa0a0,WORD-V1.3-9c38c898,validated,run_13-B2_20260921T045636079360Z_24c73f7d_c91c6cc9,,FREEZE-13A2-90264cb7,,,e8eaa0a09f7ba9a9288dde0e101fed6e979f76215889ec43e2ae92c25aa1c024,/数学建模/13B2/2025华为杯E题论文_步骤13_V1.4.docx,"仅使用13-B1已通过最终图在V1.3唯一母稿增量嵌图；15张最终图、图1-图15、46页整篇渲染与19/19图片关系硬检查通过；未重算模型/改冻结数字"
VER-13B2-DELIVERY,2026-09-21T04:56:36Z,13-B2,B_delivery,B-DELIVERY-13B2,BDEL-13B2-e8eaa0a0,WORD-V1.4-e8eaa0a0,validated,run_13-B2_20260921T045636079360Z_24c73f7d_c91c6cc9,,FREEZE-13A2-90264cb7,,,,protocol/13B2/B_delivery.json,"记录最终嵌图验收、渲染检查、图号索引与变更范围；PASS_TOKEN=13-B2-V2026.09.21-e8eaa0a0-通过"
VER-14B-Q1-WORD-V15-CAND,2026-09-21T06:00:46Z,14-B-Q1,paper_word_candidate,WORD-Q1-CANDIDATE,WORD-V1.5-863d104f,WORD-V1.4-e8eaa0a0,candidate_pending_user_confirmation,run_14-B-Q1_20260921T060046Z_863d104f,,FREEZE-14A-Q1-r36,,,863d104fd861f38e853e6ceee7fd61a365a7d44b03b5f59d7194abb7d36b5978,/数学建模/步骤14_Q1/2025华为杯E题论文_步骤14_Q1_V1.5.docx,"仅增量定稿问题1章节；46页渲染、19/19图片关系、33表、官方样式/页眉页脚保持；Library回取SHA一致；待用户检查确认后才升级LATEST_WORD与推进Q2"
