sample_id,stage,frequency_hz,psd
OR_typical_OR021@3_3,primary_processed,243.1640625,7.979285439616224e-08
OR_typical_OR021@3_3,primary_processed,246.09375,2.1741143169148557e-08
OR_typical_OR021@3_3,primary_processed,249.0234375,5.708213236624137e-09
OR_typical_OR021@3_3,primary_processed,251.953125,2.8950637491819975e-08
OR_typical_OR021@3_3,primary_processed,254.8828125,7.648323573062982e-08
OR_typical_OR021@3_3,primary_processed,257.8125,1.2215310770681878e-07
OR_typical_OR021@3_3,primary_processed,260.7421875,1.3575094406680175e-07
OR_typical_OR021@3_3,primary_processed,263.671875,5.186526585162688e-07
OR_typical_OR021@3_3,primary_processed,266.6015625,3.282606753910727e-07
OR_typical_OR021@3_3,primary_processed,269.53125,4.3960721052218906e-08
OR_typical_OR021@3_3,primary_processed,272.4609375,1.0944258450630916e-08
OR_typical_OR021@3_3,primary_processed,275.390625,9.429070645550364e-09
OR_typical_OR021@3_3,primary_processed,278.3203125,1.1070024497146699e-08
OR_typical_OR021@3_3,primary_processed,281.25,1.9159963504984972e-08
OR_typical_OR021@3_3,primary_processed,284.1796875,2.00217182965916e-08
OR_typical_OR021@3_3,primary_processed,287.109375,3.3327466662023774e-08
OR_typical_OR021@3_3,primary_processed,290.0390625,1.7101860913413257e-08
OR_typical_OR021@3_3,primary_processed,292.96875,7.364231389839552e-09
OR_typical_OR021@3_3,primary_processed,295.8984375,9.669905428245774e-09
OR_typical_OR021@3_3,primary_processed,298.828125,3.9781925279301654e-08
OR_typical_OR021@3_3,primary_processed,301.7578125,8.137149727188182e-08
OR_typical_OR021@3_3,primary_processed,304.6875,3.962008730537509e-08
OR_typical_OR021@3_3,primary_processed,307.6171875,1.676082619051799e-08
OR_typical_OR021@3_3,primary_processed,310.546875,5.194714458830839e-08
OR_typical_OR021@3_3,primary_processed,313.4765625,2.919382801397193e-08
OR_typical_OR021@3_3,primary_processed,316.40625,4.88513416373632e-08
OR_typical_OR021@3_3,primary_processed,319.3359375,1.9596145747589584e-08
OR_typical_OR021@3_3,primary_processed,322.265625,4.7845948690305806e-08
OR_typical_OR021@3_3,primary_processed,325.1953125,1.1608975202334782e-07
OR_typical_OR021@3_3,primary_processed,328.125,1.5937602543568216e-07
OR_typical_OR021@3_3,primary_processed,331.0546875,5.355025885878033e-07
OR_typical_OR021@3_3,primary_processed,333.984375,2.189438603873398e-07
OR_typical_OR021@3_3,primary_processed,336.9140625,2.7282181735596814e-07
OR_typical_OR021@3_3,primary_processed,339.84375,2.7848660499325166e-06
OR_typical_OR021@3_3,primary_processed,342.7734375,5.278047715593667e-06
OR_typical_OR021@3_3,primary_processed,345.703125,1.0631281389064426e-06
OR_typical_OR021@3_3,primary_processed,348.6328125,7.416981067271872e-08
OR_typical_OR021@3_3,primary_processed,351.5625,2.46882369040271e-07
OR_typical_OR021@3_3,primary_processed,354.4921875,2.5565764020353547e-07
OR_typical_OR021@3_3,primary_processed,357.421875,7.865963231521438e-07
OR_typical_OR021@3_3,primary_processed,360.3515625,2.0649896863108604e-06
OR_typical_OR021@3_3,primary_processed,363.28125,3.8921939911337973e-07
OR_typical_OR021@3_3,primary_processed,366.2109375,2.739865138246778e-08
OR_typical_OR021@3_3,primary_processed,369.140625,1.7111665909245264e-08
OR_typical_OR021@3_3,primary_processed,372.0703125,1.9883714291285565e-07
OR_typical_OR021@3_3,primary_processed,375.0,3.127369606361825e-07
OR_typical_OR021@3_3,primary_processed,377.9296875,4.3940437571593535e-08
OR_typical_OR021@3_3,primary_processed,380.859375,1.3731809909564704e-07
OR_typical_OR021@3_3,primary_processed,383.7890625,3.0405736924814574e-07
OR_typical_OR021@3_3,primary_processed,386.71875,3.944698921161657e-06
OR_typical_OR021@3_3,primary_processed,389.6484375,6.7517147026585675e-06
OR_typical_OR021@3_3,primary_processed,392.578125,7.178028653629523e-07
OR_typical_OR021@3_3,primary_processed,395.5078125,1.7112415991260151e-07
OR_typical_OR021@3_3,primary_processed,398.4375,2.790844481172841e-07
OR_typical_OR021@3_3,primary_processed,401.3671875,1.208823708968357e-06
OR_typical_OR021@3_3,primary_processed,404.296875,1.1090362960792442e-06
OR_typical_OR021@3_3,primary_processed,407.2265625,1.323867706996326e-07
OR_typical_OR021@3_3,primary_processed,410.15625,1.8847345456093569e-07
OR_typical_OR021@3_3,primary_processed,413.0859375,2.6975440897237005e-07
OR_typical_OR021@3_3,primary_processed,416.015625,7.758494876885344e-07
OR_typical_OR021@3_3,primary_processed,418.9453125,7.613961412581778e-07
OR_typical_OR021@3_3,primary_processed,421.875,1.0435018702583744e-07
OR_typical_OR021@3_3,primary_processed,424.8046875,3.993502823299721e-08
OR_typical_OR021@3_3,primary_processed,427.734375,2.0422341288669555e-08
OR_typical_OR021@3_3,primary_processed,430.6640625,2.3583149984182316e-08
OR_typical_OR021@3_3,primary_processed,433.59375,1.7783759017571912e-08
OR_typical_OR021@3_3,primary_processed,436.5234375,2.7643372436872285e-08
OR_typical_OR021@3_3,primary_processed,439.453125,5.838714208200669e-08
OR_typical_OR021@3_3,primary_processed,442.3828125,1.3828953389039598e-07
OR_typical_OR021@3_3,primary_processed,445.3125,8.149487312823294e-07
OR_typical_OR021@3_3,primary_processed,448.2421875,5.499489848319893e-07
OR_typical_OR021@3_3,primary_processed,451.171875,3.840204996112293e-08
OR_typical_OR021@3_3,primary_processed,454.1015625,3.9965001970103166e-08
OR_typical_OR021@3_3,primary_processed,457.03125,1.3684274148591031e-07
OR_typical_OR021@3_3,primary_processed,459.9609375,1.7609302341629382e-07
OR_typical_OR021@3_3,primary_processed,462.890625,9.4184050277608e-08
OR_typical_OR021@3_3,primary_processed,465.8203125,1.0487309044255685e-07
OR_typical_OR021@3_3,primary_processed,468.75,1.8040785045829638e-07
OR_typical_OR021@3_3,primary_processed,471.6796875,1.6750057524162756e-07
OR_typical_OR021@3_3,primary_processed,474.609375,6.285186756357074e-07
OR_typical_OR021@3_3,primary_processed,477.5390625,2.635939415962735e-07
OR_typical_OR021@3_3,primary_processed,480.46875,2.3483223322423297e-08
OR_typical_OR021@3_3,primary_processed,483.3984375,1.2539489874008972e-08
OR_typical_OR021@3_3,primary_processed,486.328125,2.5548105197634815e-07
OR_typical_OR021@3_3,primary_processed,489.2578125,9.150702581922849e-07
OR_typical_OR021@3_3,primary_processed,492.1875,2.0090579559922677e-07
OR_typical_OR021@3_3,primary_processed,495.1171875,5.324383437193489e-08
OR_typical_OR021@3_3,primary_processed,498.046875,1.1270949708211009e-07
OR_typical_OR021@3_3,primary_processed,500.9765625,9.103396534960202e-08
OR_typical_OR021@3_3,primary_processed,503.90625,1.0006777470484403e-07
OR_typical_OR021@3_3,primary_processed,506.8359375,6.228534440847528e-08
OR_typical_OR021@3_3,primary_processed,509.765625,4.0243755427465855e-08
OR_typical_OR021@3_3,primary_processed,512.6953125,2.5011822377074182e-08
OR_typical_OR021@3_3,primary_processed,515.625,2.455218051761242e-07
OR_typical_OR021@3_3,primary_processed,518.5546875,9.75448025710927e-07
OR_typical_OR021@3_3,primary_processed,521.484375,5.466627426749041e-07
OR_typical_OR021@3_3,primary_processed,524.4140625,6.259273155815658e-08
OR_typical_OR021@3_3,primary_processed,527.34375,3.292189590307059e-08
OR_typical_OR021@3_3,primary_processed,530.2734375,2.4589351291854624e-08
OR_typical_OR021@3_3,primary_processed,533.203125,2.2510526693639258e-08
OR_typical_OR021@3_3,primary_processed,536.1328125,2.7244711625427424e-08
OR_typical_OR021@3_3,primary_processed,539.0625,1.4863412875027944e-07
OR_typical_OR021@3_3,primary_processed,541.9921875,2.2925557407224165e-07
OR_typical_OR021@3_3,primary_processed,544.921875,4.379663002343562e-07
OR_typical_OR021@3_3,primary_processed,547.8515625,5.667944211581543e-07
OR_typical_OR021@3_3,primary_processed,550.78125,5.814096476839687e-08
OR_typical_OR021@3_3,primary_processed,553.7109375,6.97942946795575e-08
OR_typical_OR021@3_3,primary_processed,556.640625,5.8413190057469845e-08
OR_typical_OR021@3_3,primary_processed,559.5703125,3.7480556619992715e-08
OR_typical_OR021@3_3,primary_processed,562.5,9.093254622525876e-08
OR_typical_OR021@3_3,primary_processed,565.4296875,1.1866169861890324e-07
OR_typical_OR021@3_3,primary_processed,568.359375,5.175290146731761e-08
OR_typical_OR021@3_3,primary_processed,571.2890625,5.223257783548597e-08
OR_typical_OR021@3_3,primary_processed,574.21875,5.692332623978598e-07
OR_typical_OR021@3_3,primary_processed,577.1484375,6.628304136902959e-07
OR_typical_OR021@3_3,primary_processed,580.078125,1.4843513986727991e-07
OR_typical_OR021@3_3,primary_processed,583.0078125,9.643836396579086e-08
OR_typical_OR021@3_3,primary_processed,585.9375,1.53829431048717e-07
OR_typical_OR021@3_3,primary_processed,588.8671875,2.087694554198251e-07
OR_typical_OR021@3_3,primary_processed,591.796875,1.5695978397739132e-07
OR_typical_OR021@3_3,primary_processed,594.7265625,1.2943511541029687e-07
OR_typical_OR021@3_3,primary_processed,597.65625,1.4833852753254313e-07
OR_typical_OR021@3_3,primary_processed,600.5859375,5.621023405414135e-07
OR_typical_OR021@3_3,primary_processed,603.515625,2.619348958979668e-06
OR_typical_OR021@3_3,primary_processed,606.4453125,1.4277284009503373e-06
OR_typical_OR021@3_3,primary_processed,609.375,2.0380556345217387e-07
OR_typical_OR021@3_3,primary_processed,612.3046875,1.2432173705056661e-07
OR_typical_OR021@3_3,primary_processed,615.234375,5.461954934312664e-07
OR_typical_OR021@3_3,primary_processed,618.1640625,1.2927525728592862e-05
OR_typical_OR021@3_3,primary_processed,621.09375,1.803394869419592e-05
OR_typical_OR021@3_3,primary_processed,624.0234375,6.283842781378027e-06
OR_typical_OR021@3_3,primary_processed,626.953125,1.4222866447167404e-06
OR_typical_OR021@3_3,primary_processed,629.8828125,8.60049331984399e-07
OR_typical_OR021@3_3,primary_processed,632.8125,3.2997611995537102e-06
OR_typical_OR021@3_3,primary_processed,635.7421875,2.4921170617587948e-06
OR_typical_OR021@3_3,primary_processed,638.671875,1.2406921824520592e-06
OR_typical_OR021@3_3,primary_processed,641.6015625,3.465804237452129e-07
OR_typical_OR021@3_3,primary_processed,644.53125,6.938581158901357e-07
OR_typical_OR021@3_3,primary_processed,647.4609375,2.3381700373066204e-06
OR_typical_OR021@3_3,primary_processed,650.390625,2.225742715180628e-06
OR_typical_OR021@3_3,primary_processed,653.3203125,1.2151242230618066e-06
OR_typical_OR021@3_3,primary_processed,656.25,1.2810019830268984e-06
OR_typical_OR021@3_3,primary_processed,659.1796875,1.874361707692145e-05
OR_typical_OR021@3_3,primary_processed,662.109375,5.7240398819522316e-05
OR_typical_OR021@3_3,primary_processed,665.0390625,2.527828012866747e-05
OR_typical_OR021@3_3,primary_processed,667.96875,9.493010311855018e-06
OR_typical_OR021@3_3,primary_processed,670.8984375,9.293052188653257e-07
OR_typical_OR021@3_3,primary_processed,673.828125,1.914327699378663e-06
OR_typical_OR021@3_3,primary_processed,676.7578125,4.473552442382943e-06
OR_typical_OR021@3_3,primary_processed,679.6875,2.394093176881848e-06
OR_typical_OR021@3_3,primary_processed,682.6171875,8.546422958273887e-07
OR_typical_OR021@3_3,primary_processed,685.546875,2.1374493087830696e-07
OR_typical_OR021@3_3,primary_processed,688.4765625,1.0296881696590963e-06
OR_typical_OR021@3_3,primary_processed,691.40625,3.0115405325630156e-06
OR_typical_OR021@3_3,primary_processed,694.3359375,8.584338277736872e-07
OR_typical_OR021@3_3,primary_processed,697.265625,1.9213977492653556e-07
OR_typical_OR021@3_3,primary_processed,700.1953125,1.3140390283442538e-07
OR_typical_OR021@3_3,primary_processed,703.125,3.8214555235357826e-07
OR_typical_OR021@3_3,primary_processed,706.0546875,5.861180662957409e-07
OR_typical_OR021@3_3,primary_processed,708.984375,2.5139080525613973e-07
OR_typical_OR021@3_3,primary_processed,711.9140625,1.2363363540736504e-07
OR_typical_OR021@3_3,primary_processed,714.84375,4.4821098973234024e-07
OR_typical_OR021@3_3,primary_processed,717.7734375,2.4291103912627338e-05
OR_typical_OR021@3_3,primary_processed,720.703125,4.677011198119402e-05
OR_typical_OR021@3_3,primary_processed,723.6328125,5.660024470713306e-06
OR_typical_OR021@3_3,primary_processed,726.5625,4.0528133561328416e-07
OR_typical_OR021@3_3,primary_processed,729.4921875,3.005292290155549e-07
OR_typical_OR021@3_3,primary_processed,732.421875,2.7661654675055776e-07
OR_typical_OR021@3_3,primary_processed,735.3515625,3.213138013752015e-07
OR_typical_OR021@3_3,primary_processed,738.28125,1.016976524003144e-07
OR_typical_OR021@3_3,primary_processed,741.2109375,8.758647690725023e-08
OR_typical_OR021@3_3,primary_processed,744.140625,3.5394697312595247e-07
OR_typical_OR021@3_3,primary_processed,747.0703125,5.700349295104056e-06
OR_typical_OR021@3_3,primary_processed,750.0,7.01751118401818e-06
OR_typical_OR021@3_3,primary_processed,752.9296875,5.129401778574949e-07
OR_typical_OR021@3_3,primary_processed,755.859375,7.093659773915601e-08
OR_typical_OR021@3_3,primary_processed,758.7890625,1.3604141988526614e-07
OR_typical_OR021@3_3,primary_processed,761.71875,2.2399134133221667e-07
OR_typical_OR021@3_3,primary_processed,764.6484375,4.075480545276959e-07
OR_typical_OR021@3_3,primary_processed,767.578125,1.8452295936926518e-07
OR_typical_OR021@3_3,primary_processed,770.5078125,1.2615716035138104e-07
OR_typical_OR021@3_3,primary_processed,773.4375,3.8439404389719754e-07
OR_typical_OR021@3_3,primary_processed,776.3671875,1.8160822529118336e-06
OR_typical_OR021@3_3,primary_processed,779.296875,1.0216952142449675e-06
OR_typical_OR021@3_3,primary_processed,782.2265625,2.521810337579477e-07
OR_typical_OR021@3_3,primary_processed,785.15625,5.254261087542995e-07
OR_typical_OR021@3_3,primary_processed,788.0859375,4.96838147267241e-07
OR_typical_OR021@3_3,primary_processed,791.015625,1.4307568057392135e-06
OR_typical_OR021@3_3,primary_processed,793.9453125,4.05472698785618e-06
OR_typical_OR021@3_3,primary_processed,796.875,1.016192008347511e-06
OR_typical_OR021@3_3,primary_processed,799.8046875,5.69479397619878e-07
OR_typical_OR021@3_3,primary_processed,802.734375,1.2615676284157627e-06
OR_typical_OR021@3_3,primary_processed,805.6640625,1.5995425160310206e-06
OR_typical_OR021@3_3,primary_processed,808.59375,4.763919037451628e-07
OR_typical_OR021@3_3,primary_processed,811.5234375,4.578486309788596e-07
OR_typical_OR021@3_3,primary_processed,814.453125,3.201391738456186e-07
OR_typical_OR021@3_3,primary_processed,817.3828125,4.82439122280914e-07
OR_typical_OR021@3_3,primary_processed,820.3125,1.0337344435678984e-06
OR_typical_OR021@3_3,primary_processed,823.2421875,1.6628368532447023e-06
OR_typical_OR021@3_3,primary_processed,826.171875,1.1117487440472796e-06
OR_typical_OR021@3_3,primary_processed,829.1015625,1.514348455700437e-06
OR_typical_OR021@3_3,primary_processed,832.03125,1.2437728080839625e-06
OR_typical_OR021@3_3,primary_processed,834.9609375,2.043131475426109e-06
OR_typical_OR021@3_3,primary_processed,837.890625,5.116618419735761e-07
OR_typical_OR021@3_3,primary_processed,840.8203125,3.326804518062474e-07
OR_typical_OR021@3_3,primary_processed,843.75,7.055235044758805e-07
OR_typical_OR021@3_3,primary_processed,846.6796875,1.5390107486462737e-06
OR_typical_OR021@3_3,primary_processed,849.609375,6.725582100048685e-07
OR_typical_OR021@3_3,primary_processed,852.5390625,9.658732953763646e-07
OR_typical_OR021@3_3,primary_processed,855.46875,2.9060569941927913e-07
OR_typical_OR021@3_3,primary_processed,858.3984375,2.2808490255653083e-07
OR_typical_OR021@3_3,primary_processed,861.328125,1.7871484546900473e-06
OR_typical_OR021@3_3,primary_processed,864.2578125,2.5646220610800546e-06
OR_typical_OR021@3_3,primary_processed,867.1875,3.7942126175507864e-07
OR_typical_OR021@3_3,primary_processed,870.1171875,4.6723925583096647e-07
OR_typical_OR021@3_3,primary_processed,873.046875,1.2349569350982012e-06
OR_typical_OR021@3_3,primary_processed,875.9765625,1.619273120172934e-06
OR_typical_OR021@3_3,primary_processed,878.90625,1.721786246423729e-06
OR_typical_OR021@3_3,primary_processed,881.8359375,4.125086274515311e-06
OR_typical_OR021@3_3,primary_processed,884.765625,1.0865343634810282e-06
OR_typical_OR021@3_3,primary_processed,887.6953125,3.4740740016221745e-07
OR_typical_OR021@3_3,primary_processed,890.625,5.583567821477548e-06
OR_typical_OR021@3_3,primary_processed,893.5546875,5.539476873937662e-06
OR_typical_OR021@3_3,primary_processed,896.484375,3.419827631575425e-07
OR_typical_OR021@3_3,primary_processed,899.4140625,1.834706276378517e-07
OR_typical_OR021@3_3,primary_processed,902.34375,3.0462047580276157e-06
OR_typical_OR021@3_3,primary_processed,905.2734375,3.174294796693378e-06
OR_typical_OR021@3_3,primary_processed,908.203125,4.175612082531806e-07
OR_typical_OR021@3_3,primary_processed,911.1328125,1.5713129343752612e-07
OR_typical_OR021@3_3,primary_processed,914.0625,1.6914443685727349e-07
OR_typical_OR021@3_3,primary_processed,916.9921875,1.4633105840616655e-07
OR_typical_OR021@3_3,primary_processed,919.921875,3.7485629031435145e-07
OR_typical_OR021@3_3,primary_processed,922.8515625,2.7954116841031915e-07
OR_typical_OR021@3_3,primary_processed,925.78125,1.673578602291096e-07
OR_typical_OR021@3_3,primary_processed,928.7109375,5.258019702551887e-07
OR_typical_OR021@3_3,primary_processed,931.640625,1.766696592111448e-06
OR_typical_OR021@3_3,primary_processed,934.5703125,1.5936534939603247e-06
OR_typical_OR021@3_3,primary_processed,937.5,1.0129522977868463e-06
OR_typical_OR021@3_3,primary_processed,940.4296875,6.88724355429012e-07
OR_typical_OR021@3_3,primary_processed,943.359375,3.473188832469353e-07
OR_typical_OR021@3_3,primary_processed,946.2890625,1.674146407149353e-07
OR_typical_OR021@3_3,primary_processed,949.21875,3.0805378252255767e-07
OR_typical_OR021@3_3,primary_processed,952.1484375,2.1309766445716586e-07
OR_typical_OR021@3_3,primary_processed,955.078125,1.8346358396591987e-07
OR_typical_OR021@3_3,primary_processed,958.0078125,6.904131999391346e-07
OR_typical_OR021@3_3,primary_processed,960.9375,1.7335575792721853e-06
OR_typical_OR021@3_3,primary_processed,963.8671875,6.121229410039787e-07
OR_typical_OR021@3_3,primary_processed,966.796875,7.095623530245712e-07
OR_typical_OR021@3_3,primary_processed,969.7265625,1.6880764763887206e-06
OR_typical_OR021@3_3,primary_processed,972.65625,5.374734571773848e-07
OR_typical_OR021@3_3,primary_processed,975.5859375,1.9237150624435996e-07
OR_typical_OR021@3_3,primary_processed,978.515625,5.655680242142418e-07
OR_typical_OR021@3_3,primary_processed,981.4453125,7.87767807377968e-07
OR_typical_OR021@3_3,primary_processed,984.375,3.222007923623674e-07
OR_typical_OR021@3_3,primary_processed,987.3046875,8.708631839805196e-08
OR_typical_OR021@3_3,primary_processed,990.234375,8.922835765720142e-08
OR_typical_OR021@3_3,primary_processed,993.1640625,1.0409388076295622e-06
OR_typical_OR021@3_3,primary_processed,996.09375,1.5650686984522425e-05
OR_typical_OR021@3_3,primary_processed,999.0234375,1.2586728876641032e-05
OR_typical_OR021@3_3,primary_processed,1001.953125,6.806724317331813e-07
OR_typical_OR021@3_3,primary_processed,1004.8828125,2.218259036121089e-06
OR_typical_OR021@3_3,primary_processed,1007.8125,4.51666057905907e-06
OR_typical_OR021@3_3,primary_processed,1010.7421875,3.98534847206822e-06
OR_typical_OR021@3_3,primary_processed,1013.671875,2.978703650218348e-06
OR_typical_OR021@3_3,primary_processed,1016.6015625,3.03132721801618e-07
OR_typical_OR021@3_3,primary_processed,1019.53125,1.7410987112543512e-07
OR_typical_OR021@3_3,primary_processed,1022.4609375,4.386788519052941e-06
OR_typical_OR021@3_3,primary_processed,1025.390625,3.6280629614994925e-05
OR_typical_OR021@3_3,primary_processed,1028.3203125,1.808509549490208e-05
OR_typical_OR021@3_3,primary_processed,1031.25,4.4518996938150753e-07
OR_typical_OR021@3_3,primary_processed,1034.1796875,3.5003760930231917e-07
OR_typical_OR021@3_3,primary_processed,1037.109375,8.535130631021238e-07
OR_typical_OR021@3_3,primary_processed,1040.0390625,2.342053454196073e-06
OR_typical_OR021@3_3,primary_processed,1042.96875,8.023612365279163e-07
OR_typical_OR021@3_3,primary_processed,1045.8984375,1.070480740253277e-07
OR_typical_OR021@3_3,primary_processed,1048.828125,9.721832512553386e-08
OR_typical_OR021@3_3,primary_processed,1051.7578125,1.725400799815675e-07
OR_typical_OR021@3_3,primary_processed,1054.6875,3.9509850300572097e-07
OR_typical_OR021@3_3,primary_processed,1057.6171875,1.2164466380560565e-06
OR_typical_OR021@3_3,primary_processed,1060.546875,2.03179862916454e-06
OR_typical_OR021@3_3,primary_processed,1063.4765625,1.3126529290575554e-06
OR_typical_OR021@3_3,primary_processed,1066.40625,1.4368873989175914e-06
OR_typical_OR021@3_3,primary_processed,1069.3359375,2.6912480837668577e-06
OR_typical_OR021@3_3,primary_processed,1072.265625,8.735498863470309e-07
OR_typical_OR021@3_3,primary_processed,1075.1953125,7.801922784686968e-08
OR_typical_OR021@3_3,primary_processed,1078.125,5.653636869304334e-07
OR_typical_OR021@3_3,primary_processed,1081.0546875,1.23309419029889e-06
OR_typical_OR021@3_3,primary_processed,1083.984375,8.90639524144459e-07
OR_typical_OR021@3_3,primary_processed,1086.9140625,7.466004876007158e-07
OR_typical_OR021@3_3,primary_processed,1089.84375,4.84512006699223e-07
OR_typical_OR021@3_3,primary_processed,1092.7734375,1.4344297770645533e-07
OR_typical_OR021@3_3,primary_processed,1095.703125,1.8704832214959923e-07
OR_typical_OR021@3_3,primary_processed,1098.6328125,3.3965246245588095e-07
OR_typical_OR021@3_3,primary_processed,1101.5625,1.1065687105971454e-07
